"geographicAreaM49","Value","description"
"10",NA,"Antarctica"
"100",7051.608,"Bulgaria"
"104",53708.32,"Myanmar"
"108",11175.374,"Burundi"
"112",9452.617,"Belarus"
"116",16249.792,"Cambodia"
"12",42228.408,"Algeria"
"120",25216.267,"Cameroon"
"124",37074.562,"Canada"
"1248",1427647.786,"China, Main"
"1249",NA,"China (excl. Hong Kong and Macao)"
"128",NA,"Canton Is"
"132",543.767,"Cabo Verde"
"136",64.174,"Cayman Islands"
"140",4666.368,"Central African Republic"
"144",21228.763,"Sri Lanka"
"148",15477.729,"Chad"
"152",18729.16,"Chile"
"156",1427647.786,"China"
"158",23726.46,"China,Taiwan"
"16",55.465,"American Samoa"
"162",NA,"Christmas Is"
"166",NA,"Cocos Is"
"170",49661.048,"Colombia"
"174",832.322,"Comoros"
"175",259.531,"Mayotte"
"178",5244.359,"Congo"
"180",84068.091,"Democratic Republic of the Congo"
"184",17.518,"Cook Islands"
"188",4999.441,"Costa Rica"
"191",4156.405,"Croatia"
"192",11338.134,"Cuba"
"196",1189.265,"Cyprus"
"20",77.006,"Andorra"
"200",NA,"Czechoslovak(-1992)"
"203",10665.677,"Czechia"
"204",11485.044,"Benin"
"208",5752.126,"Denmark"
"212",71.625,"Dominica"
"214",10627.141,"Dominican Republic"
"218",17084.358,"Ecuador"
"222",6420.746,"El Salvador"
"226",1308.975,"Equatorial Guinea"
"230",NA,"Ethiopia PDR(-1992)"
"231",109224.414,"Ethiopia"
"232",3452.786,"Eritrea"
"233",1322.92,"Estonia"
"234",48.497,"Faroe Islands"
"238",3.234,"Falkland Islands (Malvinas)"
"239",NA,"SouthGeorgia/Sandwich Is"
"24",30809.787,"Angola"
"242",883.483,"Fiji"
"246",5522.576,"Finland"
"248",NA,"Åland Islands"
"250",64990.511,"France"
"254",282.938,"French Guiana"
"258",277.679,"French Polynesia"
"260",NA,"Fr South Ter"
"262",958.923,"Djibouti"
"266",2119.275,"Gabon"
"268",4002.942,"Georgia"
"270",2280.094,"Gambia"
"274",NA,"Gaza Strip(-1995)"
"275",4862.979,"Palestine(1996-)"
"276",83124.418,"Germany"
"278",NA,"Germany Nl"
"28",96.286,"Antigua and Barbuda"
"280",NA,"Germany Fr"
"288",29767.102,"Ghana"
"292",33.718,"Gibraltar"
"296",115.847,"Kiribati"
"300",10522.246,"Greece"
"304",56.564,"Greenland"
"308",111.454,"Grenada"
"31",9949.537,"Azerbaijan"
"312",399.848,"Guadeloupe"
"316",165.768,"Guam"
"32",44361.15,"Argentina"
"320",17247.849,"Guatemala"
"324",12414.293,"Guinea"
"328",779.006,"Guyana"
"332",11123.178,"Haiti"
"334",NA,"Heard Is"
"336",0.801,"Holy See"
"340",9587.522,"Honduras"
"344",7371.73,"China,H.Kong"
"348",9707.499,"Hungary"
"352",336.713,"Iceland"
"356",1352642.28,"India"
"36",24898.152,"Australia"
"360",267670.543,"Indonesia"
"364",81800.188,"Iran (Islamic Republic of)"
"368",38433.6,"Iraq"
"372",4818.69,"Ireland"
"376",8381.516,"Israel"
"380",60627.291,"Italy"
"381",NA,"Italy"
"384",25069.23,"Côte d'Ivoire"
"388",2934.847,"Jamaica"
"392",127202.192,"Japan"
"396",NA,"Johnston Is"
"398",18319.618,"Kazakhstan"
"4",37171.921,"Afghanistan"
"40",8891.388,"Austria"
"400",9965.318,"Jordan"
"402",NA,"West Bank(-1995)"
"404",51392.565,"Kenya"
"408",25549.604,"Democratic People's Republic of Korea"
"410",51171.706,"Republic of Korea"
"412",NA,"Kosovo"
"414",4137.312,"Kuwait"
"417",6304.03,"Kyrgyzstan"
"418",7061.507,"Lao People's Democratic Republic"
"422",6859.408,"Lebanon"
"426",2108.328,"Lesotho"
"428",1928.459,"Latvia"
"430",4818.973,"Liberia"
"434",6678.559,"Libya"
"438",37.91,"Liechtenstein"
"44",385.637,"Bahamas"
"440",2801.264,"Lithuania"
"442",604.245,"Luxembourg"
"446",631.636,"China, Macao"
"450",26262.313,"Madagascar"
"454",18143.217,"Malawi"
"458",31528.033,"Malaysia"
"462",515.696,"Maldives"
"466",19077.749,"Mali"
"470",439.248,"Malta"
"474",375.673,"Martinique"
"478",4403.313,"Mauritania"
"48",1569.446,"Bahrain"
"480",1267.185,"Mauritius"
"484",126190.788,"Mexico"
"488",NA,"Midway Is"
"492",38.682,"Monaco"
"496",3170.216,"Mongolia"
"498",4051.944,"Republic of Moldova"
"499",627.809,"Montenegro"
"50",161376.708,"Bangladesh"
"500",4.993,"Montserrat"
"504",36029.093,"Morocco"
"508",29496.004,"Mozambique"
"51",2951.745,"Armenia"
"512",4829.473,"Oman"
"516",2448.301,"Namibia"
"52",286.641,"Barbados"
"520",10.67,"Nauru"
"524",28095.714,"Nepal"
"528",17059.56,"Netherlands"
"530",NA,"NethAntilles"
"531",162.752,"Curaçao"
"533",105.845,"Aruba"
"534",41.94,"Sint Maarten"
"535",25.711,"Bonaire/S.Eustatius/Saba"
"535.01",NA,"Bonaire"
"535.02",NA,"Saba"
"535.03",NA,"Sint Eustatius"
"540",279.993,"New Caledonia"
"548",292.68,"Vanuatu"
"554",4743.131,"New Zealand"
"558",6465.501,"Nicaragua"
"56",11482.178,"Belgium"
"562",22442.822,"Niger"
"566",195874.683,"Nigeria"
"570",1.62,"Niue"
"574",NA,"Norfolk Is"
"578",5337.962,"Norway"
"58",NA,"Bel-Lux(-1999)"
"580",56.882,"N Marianas"
"581",NA,"US Minor Is"
"582",NA,"Pacific Is"
"583",112.64,"Micronesia (Federated States of)"
"584",58.413,"Marshall Islands"
"585",17.907,"Palau"
"586",212228.286,"Pakistan"
"591",4176.869,"Panama"
"598",8606.323,"Papua New Guinea"
"60",62.756,"Bermuda"
"600",6956.066,"Paraguay"
"604",31989.26,"Peru"
"608",106651.394,"Philippines"
"612",NA,"Pitcairn Is"
"616",37921.592,"Poland"
"620",10256.193,"Portugal"
"624",1874.303,"Guinea-Bissau"
"626",1267.974,"Timor-Leste"
"630",3039.596,"Puerto Rico"
"634",2781.682,"Qatar"
"638",882.526,"Réunion"
"64",754.388,"Bhutan"
"642",19506.114,"Romania"
"643",145734.038,"Russian Federation"
"646",12301.97,"Rwanda"
"652",9.816,"Saint Barthélemy"
"654",6.035,"Saint Helena, Ascension and Tristan da Cunha"
"659",52.441,"Saint Kitts and Nevis"
"660",14.731,"Anguilla"
"662",181.889,"Saint Lucia"
"663",37.264,"Saint-Martin"
"666",5.849,"Saint Pierre and Miquelon"
"670",110.211,"Saint Vincent and the Grenadines"
"674",33.785,"San Marino"
"678",211.028,"Sao Tome and Principe"
"68",11353.142,"Bolivia (Plurinational State of)"
"682",33702.756,"Saudi Arabia"
"686",15854.323,"Senegal"
"688",8802.754,"Serbia"
"690",97.096,"Seychelles"
"694",7650.15,"Sierra Leone"
"70",3323.925,"Bosnia and Herzegovina"
"702",5757.499,"Singapore"
"703",5453.014,"Slovakia"
"704",95545.962,"Viet Nam"
"705",2077.837,"Slovenia"
"706",15008.226,"Somalia"
"710",57792.518,"South Africa"
"716",14438.802,"Zimbabwe"
"72",2254.068,"Botswana"
"720",NA,"Yemen Dem"
"724",46692.858,"Spain"
"728",10975.927,"South Sudan"
"729",41801.533,"Sudan"
"732",567.402,"Westn Sahara"
"736",NA,"Sudan (former)"
"74",NA,"Bouvet Is"
"740",575.99,"Suriname"
"744",NA,"Svalbard Is"
"748",1136.281,"Swaziland"
"752",9971.638,"Sweden"
"756",8525.611,"Switzerland"
"76",209469.323,"Brazil"
"760",16945.057,"Syrian Arab Republic"
"762",9100.835,"Tajikistan"
"764",69428.453,"Thailand"
"768",7889.093,"Togo"
"772",1.319,"Tokelau"
"776",103.197,"Tonga"
"780",1389.843,"Trinidad and Tobago"
"784",9630.959,"United Arab Emirates"
"788",11565.201,"Tunisia"
"792",82340.088,"Turkey"
"795",5850.901,"Turkmenistan"
"796",37.665,"Turks and Caicos Islands"
"798",11.508,"Tuvalu"
"8",2882.74,"Albania"
"800",42729.036,"Uganda"
"804",44246.156,"Ukraine"
"807",2082.957,"The former Yugoslav Republic of Macedonia"
"810",NA,"USSR(-1991)"
"818",98423.598,"Egypt"
"826",67141.684,"United Kingdom"
"830",170.499,"Channel Is"
"831",NA,"Guernsey"
"832",NA,"Jersey"
"833",84.077,"Isle of Man"
"834",56313.438,"United Republic of Tanzania"
"835",NA,"Zanzibar"
"84",383.071,"Belize"
"840",327096.265,"United States of America"
"850",104.68,"US Virgin Is"
"854",19751.466,"Burkina Faso"
"858",3449.285,"Uruguay"
"86",NA,"Br Ind Oc Tr"
"860",32476.244,"Uzbekistan"
"862",28887.118,"Venezuela (Bolivarian Republic of)"
"872",NA,"Wake Is"
"876",11.661,"Wallis and Futuna Islands"
"882",196.129,"Samoa"
"886",NA,"Yemen Ar Rp"
"887",28498.683,"Yemen"
"890",NA,"Yugoslav SFR(-1991)"
"891",NA,"Serbia-Monte(1992-2005)"
"894",17351.708,"Zambia"
"896",NA,"Other nei"
"90",652.857,"Solomon Islands"
"92",29.802,"British Virgin Islands"
"96",428.963,"Brunei Darussalam"
