area_code,m49,area_name,start_year,end_year
1,51,Armenia,1992,NA
10,36,Australia,NA,NA
100,356,India,NA,NA
101,360,Indonesia,NA,NA
102,364,Iran (Islamic Republic of),NA,NA
103,368,Iraq,NA,NA
104,372,Ireland,NA,NA
105,376,Israel,NA,NA
106,380,Italy,NA,NA
107,384,Côte d'Ivoire,NA,NA
108,398,Kazakhstan,1992,NA
109,388,Jamaica,NA,NA
11,40,Austria,NA,NA
110,392,Japan,NA,NA
112,400,Jordan,NA,NA
113,417,Kyrgyzstan,1992,NA
114,404,Kenya,NA,NA
115,116,Cambodia,NA,NA
116,408,Democratic People's Republic of Korea,NA,NA
117,410,Republic of Korea,NA,NA
118,414,Kuwait,NA,NA
119,428,Latvia,1992,NA
12,44,Bahamas,NA,NA
120,418,Lao People's Democratic Republic,NA,NA
121,422,Lebanon,NA,NA
122,426,Lesotho,NA,NA
123,430,Liberia,NA,NA
124,434,Libya,NA,NA
126,440,Lithuania,1992,NA
128,446,"China, Macao SAR",NA,NA
129,450,Madagascar,NA,NA
13,48,Bahrain,NA,NA
130,454,Malawi,NA,NA
131,458,Malaysia,NA,NA
132,462,Maldives,NA,NA
133,466,Mali,NA,NA
134,470,Malta,NA,NA
136,478,Mauritania,NA,NA
137,480,Mauritius,NA,NA
138,484,Mexico,NA,NA
14,52,Barbados,NA,NA
141,496,Mongolia,NA,NA
143,504,Morocco,NA,NA
144,508,Mozambique,NA,NA
146,498,Republic of Moldova,1992,NA
147,516,Namibia,NA,NA
148,520,Nauru,NA,NA
149,524,Nepal,NA,NA
15,58,Belgium-Luxembourg,NA,1999
150,528,Netherlands,NA,NA
151,530,Netherlands Antilles (former),NA,2010
153,540,New Caledonia,NA,NA
154,807,The former Yugoslav Republic of Macedonia,1992,NA
155,548,Vanuatu,NA,NA
156,554,New Zealand,NA,NA
157,558,Nicaragua,NA,NA
158,562,Niger,NA,NA
159,566,Nigeria,NA,NA
16,50,Bangladesh,NA,NA
160,570,Niue,NA,NA
161,574,Norfolk Island,NA,NA
162,578,Norway,NA,NA
164,582,Pacific Islands Trust Territory,NA,1990
165,586,Pakistan,NA,NA
166,591,Panama,NA,NA
167,203,Czechia,1993,NA
168,598,Papua New Guinea,NA,NA
169,600,Paraguay,NA,NA
17,60,Bermuda,NA,NA
170,604,Peru,NA,NA
171,608,Philippines,NA,NA
173,616,Poland,NA,NA
174,620,Portugal,NA,NA
175,624,Guinea-Bissau,NA,NA
176,626,Timor-Leste,NA,NA
178,232,Eritrea,1993,NA
179,634,Qatar,NA,NA
18,64,Bhutan,NA,NA
181,716,Zimbabwe,NA,NA
183,642,Romania,NA,NA
184,646,Rwanda,NA,NA
185,643,Russian Federation,1992,NA
186,891,Serbia and Montenegro,1992,2005
188,659,Saint Kitts and Nevis,NA,NA
189,662,Saint Lucia,NA,NA
19,68,Bolivia (Plurinational State of),NA,NA
190,666,Saint Pierre and Miquelon,NA,NA
191,670,Saint Vincent and the Grenadines,NA,NA
193,678,Sao Tome and Principe,NA,NA
194,682,Saudi Arabia,NA,NA
195,686,Senegal,NA,NA
196,690,Seychelles,NA,NA
197,694,Sierra Leone,NA,NA
198,705,Slovenia,1992,NA
199,703,Slovakia,1993,NA
2,4,Afghanistan,NA,NA
20,72,Botswana,NA,NA
200,702,Singapore,NA,NA
201,706,Somalia,NA,NA
202,710,South Africa,NA,NA
203,724,Spain,NA,NA
206,736,Sudan (former),NA,2011
207,740,Suriname,NA,NA
208,762,Tajikistan,1992,NA
209,748,Swaziland,NA,NA
21,76,Brazil,NA,NA
210,752,Sweden,NA,NA
211,756,Switzerland,NA,NA
212,760,Syrian Arab Republic,NA,NA
