"unpd_code","unpd_description","code","description"
"0",NA,"0","wildcard"
"0000",NA,"0000","Sudan (former)"
"1",NA,"1","World"
"10",NA,"10","Antarctica"
"1000",NA,"1000","Dng LtCb EAA"
"1001",NA,"1001","Dng Ocea EAA"
"1002",NA,"1002","Dng Oth EAA"
"1003",NA,"1003","Dd Afric EAA"
"1004",NA,"1004","Dd Amer EAA"
"1005",NA,"1005","Dd Asia EAA"
"1006",NA,"1006","Dd Ocean EAA"
"1007",NA,"1007","Dd W Eur EAA"
"1008",NA,"1008","Dd E Eur EAA"
"1009",NA,"1009","Dd USSR EAA"
"1010",NA,"1010","Dg Af Ce EAA"
"1011",NA,"1011","Dg Af Es EAA"
"1012",NA,"1012","Dg Af NW EAA"
"1013",NA,"1013","Dg Af SthEAA"
"1014",NA,"1014","Dg Af Wt EAA"
"1015",NA,"1015","Dg Anta EAA"
"1016",NA,"1016","Dg As ESE"
"1017",NA,"1017","Dg As NE EAA"
"1018",NA,"1018","Dg As SthEAA"
"1019",NA,"1019","Dg China EAA"
"1020",NA,"1020","Dg Am NthEAA"
"1021",NA,"1021","Dg Am CenEAA"
"1022",NA,"1022","Dg Am CabEAA"
"1023",NA,"1023","Dg Am SthEAA"
"1024",NA,"1024","Dg Ocean EAA"
"1025",NA,"1025","Dg OthersEAA"
"1026",NA,"1026","Afr NtSahEAA"
"1027",NA,"1027","Afr StSahEAA"
"1028",NA,"1028","Cnt Am Carib"
"1029",NA,"1029","Dd USSR Asia"
"1030",NA,"1030","Dd USSR Euro"
"1031",NA,"1031","Far East"
"1032",NA,"1032","Near East"
"1033",NA,"1033","FE & Oceania"
"1034",NA,"1034","ESE As&China"
"1035",NA,"1035","World,EAA"
"1036",NA,"1036","Africa,EAA"
"1037",NA,"1037","Dvd Ind,EAA"
"1038",NA,"1038","Dvd NAmr,EAA"
"1039",NA,"1039","Dvd WEur,EAA"
"1040",NA,"1040","Dvd Ocen,EAA"
"1041",NA,"1041","Dvd Oths,EAA"
"1042",NA,"1042","Dvg LA&C,EAA"
"1043",NA,"1043","Dvg N Af,EAA"
"1044",NA,"1044","Dvg SbSh,EAA"
"1045",NA,"1045","Dvg Oths,EAA"
"1046",NA,"1046","Africa,EAA"
"1047",NA,"1047","LAmerica,EAA"
"1048",NA,"1048","Oceania,EAA"
"1049",NA,"1049","Aus/Nwzl,EAA"
"1050",NA,"1050","Oth,Oceania"
"1051",NA,"1051","LDC's EAA"
"1052",NA,"1052","Antartic EAA"
"1053",NA,"1053","Devloped EAA"
"1054",NA,"1054","RAP"
"1055",NA,"1055","Developing"
"1056",NA,"1056","Asia"
"1057",NA,"1057","Asia (Fmr)"
"1058",NA,"1058","World (Fmr)"
"1059",NA,"1059","LIFDCs"
"1064",NA,"1064","FAO MEMBERS"
"1065",NA,"1065","FAO OFFICES"
"1067",NA,"1067","SUB GROUP"
"1069",NA,"1069","COUNTRY LIST"
"1070",NA,"1070","SUAP"
"1071",NA,"1071","SUATLA"
"1072",NA,"1072","SUAFP"
"1073",NA,"1073","SUAFD"
"1074",NA,"1074","SUAFP"
"1075",NA,"1075","SUAFD"
"1076",NA,"1076","CBDCBDCAP"
"1077",NA,"1077","LUIM"
"1078",NA,"1078","LUILU"
"1079",NA,"1079","LUII"
"1080",NA,"1080","LUIP"
"1081",NA,"1081","PINCP"
"1082",NA,"1082","FoodAidFA"
"1083",NA,"1083","TINCPD"
"1084",NA,"1084","SUAPCP"
"1085",NA,"1085","SUAPCD"
"1086",NA,"1086","SUAPLP"
"1087",NA,"1087","SUATCLP"
"1088",NA,"1088","CBDCBDPLAP"
"1089",NA,"1089","CBDCBDNPLAP"
"1090",NA,"1090","N Amer (FAO)"
"1091",NA,"1091","LatAmCar FAO"
"1092",NA,"1092","SAfrica Dvng"
"1093",NA,"1093","Far East"
"1094",NA,"1094","Baltic Assem"
"1095",NA,"1095","EU (15)"
"1096",NA,"1096","Europ&Baltic(1991-)"
"1097",NA,"1097","E SEAsia&Chn"
"1098",NA,"1098","LAS"
"1099",NA,"1099","World (Fmr)"
"1100",NA,"1100","BSEC Dvng"
"1101",NA,"1101","North Africa"
"1102",NA,"1102","LA&C (EHDAX)"
"1103",NA,"1103","OPEC"
"1104",NA,"1104","CARIFORUM"
"1105",NA,"1105","CEFTA"
"1106",NA,"1106","LOWA"
"1107",NA,"1107","USSR F Area(1992-)"
"1108",NA,"1108","SSahara&SAfr"
"1109",NA,"1109","Czech F Area(1993-)"
"1110",NA,"1110","World"
"1111",NA,"1111","WAEMU"
"1112",NA,"1112","ESCWA"
"1113",NA,"1113","FarEast&Ocea"
"1114",NA,"1114","E SEAsia&Chn"
"1115",NA,"1115","Asia"
"1116",NA,"1116","Far East"
"1117",NA,"1117","World"
"1118",NA,"1118","FarEast&Ocea"
"1119",NA,"1119","E SEAsia&Chn"
"1120",NA,"1120","NearEAsia(Ot"
"1121",NA,"1121","Asia&Pacific"
"1122",NA,"1122","E&SE Asia,Ch"
"1123",NA,"1123","Europe&Israe"
"1124",NA,"1124","Eur&IsrExcEU"
"1125",NA,"1125","NorthAmerica"
"1126",NA,"1126","Amer Nth EAA"
"1127",NA,"1127","Amer Lat EAA"
"1128",NA,"1128","Amer Car EAA"
"1129",NA,"1129","Asia EAA"
"1130",NA,"1130","Europe EAA"
"1131",NA,"1131","Oceania EAA"
"1132",NA,"1132","Frm USSR EAA"
"1133",NA,"1133","Wrld Oth EAA"
"1134",NA,"1134","Dvd Ind EAA"
"1135",NA,"1135","Dvd Tran EAA"
"1136",NA,"1136","ProdPricesLP(1961-)"
"1137",NA,"1137","All Unal Wld"
"1138",NA,"1138","Asia Unal"
"1139",NA,"1139","Africa Unal"
"1140",NA,"1140","Oceania Unal"
"1141",NA,"1141","ACM"
"1142",NA,"1142","ECO"
"1143",NA,"1143","MERCOSUR"
"1144",NA,"1144","IGAD"
"1145",NA,"1145","OAU"
"1146",NA,"1146","SPF"
"1147",NA,"1147","ACS"
"1148",NA,"1148","AAAID"
"1149",NA,"1149","PECC"
"1150",NA,"1150","BSEC"
"1151",NA,"1151","IORARC"
"1152",NA,"1152","SPF Dvng"
"1153",NA,"1153","PECC Dvng"
"1154",NA,"1154","SPC Dvng&RsF"
"1155",NA,"1155","IORARCDng&SA"
"1156",NA,"1156","FS C and P"
"1157",NA,"1157","FS C and PL"
"1158",NA,"1158","FS C and NPL"
"1159",NA,"1159","FCFC(1961-)"
"1160",NA,"1160","FCAM(1961-)"
"1161",NA,"1161","FCCA(1961-)"
"1162",NA,"1162","FCPCS(1961-)"
"1164",NA,"1164","LA&C (LIFDC)"
"1165",NA,"1165","SubSa(LIFDC)"
"1166",NA,"1166","EHDAX"
"1167",NA,"1167","SubSa(EHDAX)"
"1168",NA,"1168","LIFDCs(SOFA)"
"1169",NA,"1169","SAFR"
"1170",NA,"1170","SAPA"
"1171",NA,"1171","SEUR"
"1172",NA,"1172","SLAC"
"1173",NA,"1173","SNEA"
"1174",NA,"1174","NFIDC"
"1175",NA,"1175","FE&P (EHDAX)"
"1176",NA,"1176","Asia Dvng"
"1177",NA,"1177","SUAPLTI(1961-)"
"1178",NA,"1178","SUAPLTS(1961-)"
"1179",NA,"1179","SUAPLD"
"1180",NA,"1180","ACP Africa"
"1181",NA,"1181","ACP Caribbn"
"1182",NA,"1182","ACP Pacific"
"1183",NA,"1183","ACP SugarPro"
"1184",NA,"1184","Africa (FAO)"
"1185",NA,"1185","Developed"
"1186",NA,"1186","CACEU"
"1187",NA,"1187","AMU"
"1188",NA,"1188","SPEC"
"1189",NA,"1189","LUIF"
"1190",NA,"1190","SUAPLS"
