GroupCode,CountryGroup,Country,M49Code
5100,Africa,Algeria,12
5100,Africa,Angola,24
5100,Africa,Benin,204
5100,Africa,Botswana,72
5100,Africa,Burkina Faso,854
5100,Africa,Burundi,108
5100,Africa,Cabo Verde,132
5100,Africa,Cameroon,120
5100,Africa,Central African Republic,140
5100,Africa,Chad,148
5100,Africa,Comoros,174
5100,Africa,Congo,178
5100,Africa,Côte d'Ivoire,384
5100,Africa,Democratic Republic of the Congo,180
5100,Africa,Djibouti,262
5100,Africa,Egypt,818
5100,Africa,Equatorial Guinea,226
5100,Africa,Eritrea,232
5100,Africa,Eswatini,748
5100,Africa,Ethiopia,231
5100,Africa,Ethiopia PDR,230
5100,Africa,Gabon,266
5100,Africa,Gambia,270
5100,Africa,Ghana,288
5100,Africa,Guinea,324
5100,Africa,Guinea-Bissau,624
5100,Africa,Kenya,404
5100,Africa,Lesotho,426
5100,Africa,Liberia,430
5100,Africa,Libya,434
5100,Africa,Madagascar,450
5100,Africa,Malawi,454
5100,Africa,Mali,466
5100,Africa,Mauritania,478
5100,Africa,Mauritius,480
5100,Africa,Mayotte,175
5100,Africa,Morocco,504
5100,Africa,Mozambique,508
5100,Africa,Namibia,516
5100,Africa,Niger,562
5100,Africa,Nigeria,566
5100,Africa,Réunion,638
5100,Africa,Rwanda,646
5100,Africa,"Saint Helena, Ascension and Tristan da Cunha",654
5100,Africa,Sao Tome and Principe,678
5100,Africa,Senegal,686
5100,Africa,Seychelles,690
5100,Africa,Sierra Leone,694
5100,Africa,Somalia,706
5100,Africa,South Africa,710
5100,Africa,South Sudan,728
5100,Africa,Sudan,729
5100,Africa,Sudan (former),736
5100,Africa,Togo,768
5100,Africa,Tunisia,788
5100,Africa,Uganda,800
5100,Africa,United Republic of Tanzania,834
5100,Africa,Western Sahara,732
5100,Africa,Zambia,894
5100,Africa,Zimbabwe,716
5200,Americas,Anguilla,660
5200,Americas,Antigua and Barbuda,28
5200,Americas,Argentina,32
5200,Americas,Aruba,533
5200,Americas,Bahamas,44
5200,Americas,Barbados,52
5200,Americas,Belize,84
5200,Americas,Bermuda,60
5200,Americas,Bolivia (Plurinational State of),68
5200,Americas,Brazil,76
5200,Americas,British Virgin Islands,92
5200,Americas,Canada,124
5200,Americas,Cayman Islands,136
5200,Americas,Chile,152
5200,Americas,Colombia,170
5200,Americas,Costa Rica,188
5200,Americas,Cuba,192
5200,Americas,Dominica,212
5200,Americas,Dominican Republic,214
5200,Americas,Ecuador,218
5200,Americas,El Salvador,222
5200,Americas,Falkland Islands (Malvinas),238
5200,Americas,French Guiana,254
5200,Americas,Greenland,304
5200,Americas,Grenada,308
5200,Americas,Guadeloupe,312
5200,Americas,Guatemala,320
5200,Americas,Guyana,328
5200,Americas,Haiti,332
5200,Americas,Honduras,340
5200,Americas,Jamaica,388
5200,Americas,Martinique,474
5200,Americas,Mexico,484
5200,Americas,Montserrat,500
5200,Americas,Netherlands Antilles (former),530
5200,Americas,Nicaragua,558
5200,Americas,Panama,591
5200,Americas,Paraguay,600
5200,Americas,Peru,604
5200,Americas,Puerto Rico,630
5200,Americas,Saint Kitts and Nevis,659
5200,Americas,Saint Lucia,662
5200,Americas,Saint Pierre and Miquelon,666
5200,Americas,Saint Vincent and the Grenadines,670
5200,Americas,Suriname,740
5200,Americas,Trinidad and Tobago,780
5200,Americas,Turks and Caicos Islands,796
5200,Americas,United States of America,840
5200,Americas,United States Virgin Islands,850
5200,Americas,Uruguay,858
5200,Americas,Venezuela (Bolivarian Republic of),862
5300,Asia,Afghanistan,4
5300,Asia,Armenia,51
5300,Asia,Azerbaijan,31
5300,Asia,Bahrain,48
5300,Asia,Bangladesh,50
5300,Asia,Bhutan,64
5300,Asia,Brunei Darussalam,96
5300,Asia,Cambodia,116
5300,Asia,"China, Hong Kong SAR",344
5300,Asia,"China, Macao SAR",446
5300,Asia,"China, mainland",1248
5300,Asia,"China, Taiwan Province of",158
5300,Asia,Cyprus,196
5300,Asia,Democratic People's Republic of Korea,408
5300,Asia,Georgia,268
5300,Asia,India,356
5300,Asia,Indonesia,360
5300,Asia,Iran (Islamic Republic of),364
5300,Asia,Iraq,368
5300,Asia,Israel,376
5300,Asia,Japan,392
5300,Asia,Jordan,400
5300,Asia,Kazakhstan,398
5300,Asia,Kuwait,414
5300,Asia,Kyrgyzstan,417
5300,Asia,Lao People's Democratic Republic,418
5300,Asia,Lebanon,422
5300,Asia,Malaysia,458
5300,Asia,Maldives,462
5300,Asia,Mongolia,496
5300,Asia,Myanmar,104
5300,Asia,Nepal,524
5300,Asia,Oman,512
5300,Asia,Pakistan,586
5300,Asia,Palestine,275
5300,Asia,Philippines,608
5300,Asia,Qatar,634
5300,Asia,Republic of Korea,410
5300,Asia,Saudi Arabia,682
5300,Asia,Singapore,702
5300,Asia,Sri Lanka,144
5300,Asia,Syrian Arab Republic,760
5300,Asia,Tajikistan,762
5300,Asia,Thailand,764
5300,Asia,Timor-Leste,626
5300,Asia,Turkey,792
5300,Asia,Turkmenistan,795
5300,Asia,United Arab Emirates,784
5300,Asia,Uzbekistan,860
5300,Asia,Viet Nam,704
5300,Asia,Yemen,887
5501,Australia and New Zealand,Australia,36
5501,Australia and New Zealand,New Zealand,554
5501,Australia and New Zealand,Norfolk Island,574
5206,Caribbean,Anguilla,660
5206,Caribbean,Antigua and Barbuda,28
5206,Caribbean,Aruba,533
5206,Caribbean,Bahamas,44
