Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2000","2000","1000 persons","20595","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","21348","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","22203","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","23116","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","24019","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","24861","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2006","2006","1000 persons","25631","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2007","2007","1000 persons","26349","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2008","2008","1000 persons","27032","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2009","2009","1000 persons","27708","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","28398","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","29105","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","29825","","Official data"
"FBS","Food Balance Sheets","2","Afghanistan","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","30552","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2000","2000","1000 persons","3305","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","3286","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","3264","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","3239","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","3216","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","3196","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2006","2006","1000 persons","3180","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2007","2007","1000 persons","3166","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2008","2008","1000 persons","3157","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2009","2009","1000 persons","3151","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","3150","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","3154","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","3162","","Official data"
"FBS","Food Balance Sheets","3","Albania","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","3173","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2000","2000","1000 persons","31719","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","32150","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","32573","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","33003","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","33461","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","33961","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2006","2006","1000 persons","34507","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2007","2007","1000 persons","35097","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2008","2008","1000 persons","35725","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2009","2009","1000 persons","36383","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","37063","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","37763","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","38482","","Official data"
"FBS","Food Balance Sheets","4","Algeria","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","39208","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2000","2000","1000 persons","13925","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","14385","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","14887","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","15421","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","15977","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","16544","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2006","2006","1000 persons","17122","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2007","2007","1000 persons","17713","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2008","2008","1000 persons","18314","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2009","2009","1000 persons","18927","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","19549","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","20180","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","20821","","Official data"
"FBS","Food Balance Sheets","7","Angola","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","21472","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2000","2000","1000 persons","78","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","79","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","80","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","81","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","82","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","83","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2006","2006","1000 persons","83","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2007","2007","1000 persons","84","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2008","2008","1000 persons","85","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2009","2009","1000 persons","86","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","87","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","88","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","89","","Official data"
"FBS","Food Balance Sheets","8","Antigua and Barbuda","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","90","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2000","2000","1000 persons","36903","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","37273","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","37628","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","37970","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","38309","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","38648","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2006","2006","1000 persons","38989","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2007","2007","1000 persons","39331","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2008","2008","1000 persons","39676","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2009","2009","1000 persons","40024","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","40374","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","40729","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","41087","","Official data"
"FBS","Food Balance Sheets","9","Argentina","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","41446","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2000","2000","1000 persons","3076","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","3060","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2002","2002","1000 persons","3047","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2003","2003","1000 persons","3036","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2004","2004","1000 persons","3026","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2005","2005","1000 persons","3015","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2006","2006","1000 persons","3003","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2007","2007","1000 persons","2990","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2008","2008","1000 persons","2977","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2009","2009","1000 persons","2968","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2010","2010","1000 persons","2963","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2011","2011","1000 persons","2964","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2012","2012","1000 persons","2969","","Official data"
"FBS","Food Balance Sheets","1","Armenia","511","Total Population - Both sexes","2501","Population","2013","2013","1000 persons","2977","","Official data"
"FBS","Food Balance Sheets","10","Australia","511","Total Population - Both sexes","2501","Population","2000","2000","1000 persons","19259","","Official data"
"FBS","Food Balance Sheets","10","Australia","511","Total Population - Both sexes","2501","Population","2001","2001","1000 persons","19487","","Official data"
