Variant,Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estimates,900,1270171.462,1293796.572,1317007.099,1340156.265,1363532.916,1387361.616,1411800.049,1436941.44,1462822.358,1489434.746,1516763.013,1544824.164,1573701.871,1603561.719,1634608.964,1666964.631,1700684.971,1735655.818,1771608.414,1808170.029,1845046.876,1882183.563,1919584.566,1957091.634,1994534.61,2031814.448,2068842.328,2105694.017,2142645.985,2180087.662,2218314.439,2257323.33,2297056.915,2337676.597,2379366.139,2422197.063,2466288.679,2511446.765,2557038.065,2602207.942,2646335.779,2689176.204,2730869.164,2771656.778,2811953.432,2852071.381,2892075.969,2931884.657,2971498.366,3010889.613,3050059.948,3089024.77,3127872.723,3166763.11,3205896.765,3245421.689,3285384.988,3325763.623,3366542.29,3407677.565,3449119.953,3490861.575,3532864.951,3575006.709,3617128.922,3659100.593,3700864.713,3742389.807,3783603.252,3824433.594,3864824.776
Estimates,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,901,426444.709,430968.91,435736.259,440667.383,445697.87,450778.23,455874.92,460969.21,466055.559,471138.255,476221.39,481298.64,486343.997,491307.75,496127.669,500761.821,505182.665,509406.633,513490.065,517515.445,521541.757,525588.347,529634.449,533650.145,537588.367,541415.167,545126.469,548735.256,552245.505,555665.259,559002.648,562250.234,565410.253,568512.151,571594.984,574683.533,577792.074,580903.692,583973.196,586937.006,589748.987,592402.341,594911.239,597277.16,599507.449,601613.796,603596.809,605472.272,607286.835,609100.636,610961.585,612877.436,614850.215,616912.379,619099.766,621431.142,623924.156,626555.144,629248.787,631901.575,634435.124,636816.907,639054.715,641159.734,643158.889,645069.137,646892.595,648610.563,650196.001,651613.646,652840.933
Estimates,902,843726.753,862827.662,881270.84,899488.882,917835.046,936583.386,955925.129,975972.23,996766.799,1018296.491,1040541.623,1063525.524,1087357.874,1112253.969,1138481.295,1166202.81,1195502.306,1226249.185,1258118.349,1290654.584,1323505.119,1356595.216,1389950.117,1423441.489,1456946.243,1490399.281,1523715.859,1556958.761,1590400.48,1624422.403,1659311.791,1695073.096,1731646.662,1769164.446,1807771.155,1847513.53,1888496.605,1930543.073,1973064.869,2015270.936,2056586.792,2096773.863,2135957.925,2174379.618,2212445.983,2250457.585,2288479.16,2326412.385,2364211.531,2401788.977,2439098.363,2476147.334,2513022.508,2549850.731,2586796.999,2623990.547,2661460.832,2699208.479,2737293.503,2775775.99,2814684.829,2854044.668,2893810.236,2933846.975,2973970.033,3014031.456,3053972.118,3093779.244,3133407.251,3172819.948,3211983.843
Estimates,941,97613.14,99536.707,101495.82,103512.852,105606.058,107789.32,110072.459,112461.046,114956.959,117559.085,120265.605,123076.322,125994.559,129028.418,132187.821,135477.594,138907.184,142468.896,146128.577,149840.11,153572.879,157313.105,161078.076,164904.222,168844.059,172937.061,177200.049,181627.135,186206.8,190918.009,195748.573,200696.689,205778.332,211020.02,216457.104,222115.304,228000.744,234107.202,240432.198,246968.584,253708.125,260656.159,267806.688,275126.117,282570.095,290107.929,297722.611,305424.689,313245.077,321229.9,329411.631,337806.501,346402.795,355172.029,364072.259,373076.741,382174.583,391386.416,400754.877,410339.508,420183.279,430298.899,440674.588,451298.341,462148.593,473207.349,484472.948,495944.872,507606.514,519437.456,531421.835
Estimates,934,746113.613,763290.955,779775.02,795976.03,812228.988,828794.066,845852.67,863511.184,881809.84,900737.406,920276.018,940449.202,961363.315,983225.551,1006293.474,1030725.216,1056595.122,1083780.289,1111989.772,1140814.474,1169932.24,1199282.111,1228872.041,1258537.267,1288102.184,1317462.22,1346515.81,1375331.626,1404193.68,1433504.394,1463563.218,1494376.407,1525868.33,1558144.426,1591314.051,1625398.226,1660495.861,1696435.871,1732632.671,1768302.352,1802878.667,1836117.704,1868151.237,1899253.501,1929875.888,1960349.656,1990756.549,2020987.696,2050966.454,2080559.077,2109686.732,2138340.833,2166619.713,2194678.702,2222724.74,2250913.806,2279286.249,2307822.063,2336538.626,2365436.482,2394501.55,2423745.769,2453135.648,2482548.634,2511821.44,2540824.107,2569499.17,2597834.372,2625800.737,2653382.492,2680562.008
Estimates,948,572297.224,583533.451,595475.03,608088.773,621347.431,635229.569,649719.897,664808.985,680492.574,696769.944,713639.78,731095.921,749122.968,767695.028,786780.339,806355.155,826411.023,846950.338,867974.397,889489.175,911501.932,934020.405,957052.349,980604.912,1004685.731,1029308.175,1054449.92,1080128.282,1106439.012,1133508.775,1161415.327,1190185.115,1219752.124,1249984.154,1280697.518,1311745.057,1343073.917,1374674.622,1406495.882,1438492.24,1470626.137,1502857.857,1535162.574,1567539.071,1599998.917,1632549.021,1665193.215,1697919.602,1730704.714,1763518.607,1796347.949,1829185.002,1862060.318,1895046.374,1928240.419,1961717.559,1995489.08,2029549.145,2063931.813,2098672.244,2133785.237,2169288.865,2205150.126,2241265.939,2277496.316,2313734.226,2349929.748,2386086.98,2422218.886,2458360.347,2494530.383
Estimates,1636,52511.165,53583.904,54724.909,55930.588,57198.043,58524.958,59909.882,61351.846,62850.674,64406.403,66018.871,67686.975,69408.088,71177.907,72991.095,74843.361,76729.875,78649.355,80604.283,82599.409,84636.357,86721.699,88850.039,90997.474,93131.854,95233.285,97295.021,99333.486,101381.021,103482.829,105674.66,107960.313,110338.904,112834.988,115476.646,118279.706,121262.39,124410.427,127666.802,130951.954,134209.754,137419.875,140601.201,143785.185,147020.629,150344.726,153766.388,157278.028,160881.114,164573.422,168354.422,172230.864,176209.765,180290.898,184472.466,188755.295,193136.156,197622.224,202236.812,207010.518,211963.392,217101.852,222414.29,227879.751,233467.642,239152.959,244929.492,250794.226,256728.992,262713.111,268731.394
Estimates,1637,11754.757,11975.29,12216.047,12471.073,12736.283,13008.974,13288.176,13574.576,13870.108,14177.79,14500.072,14837.602,15187.911,15545.003,15900.819,16249.385,16587.864,16917.784,17243.112,17570.069,17903.023,18243.713,18590.059,18938.009,19281.44,19616.5,19941.519,20259.176,20574.208,20893.579,21222.369,21562.3,21912.072,22270.661,22635.942,23006.451,23381.657,23761.871,24147.029,24536.945,24931.375,25329.647,25730.78,26132.954,26534.288,26932.83,27329.124,27722.647,28109.805,28485.95,28848.462,29194.374,29526.251,29853.597,30189.636,30543.212,30918.096,31310.104,31711.249,32109.606,32496.381,32870.134,33232.861,33583.329,33920.993,34245.997,34556.326,34853.231,35144.515,35440.72,35749.107
Estimates,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
