Variant,Country_code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Medium variant,900,3864824.776,3904727.342,3944122.815,3983028.585,4021484.313,4059517.943,4097118.888,4134265.926,4170965.142,4207225.806,4243050.448,4278438.555,4313375.331,4347831.306,4381767.627,4415153.754,4447973.886,4480224.852,4511903.674,4543012.646,4573550.774,4603512.471,4632886.682,4661661.027,4689821.228,4717356.298,4744260.506,4770532.785,4796172.17,4821180.003,4845557.763,4869307.822,4892431.345,4914928.196,4936797.579,4958042.233,4978665.376,4998677.059,5018095.577,5036944.268,5055242.628,5073002.337,5090230.106,5106934.82,5123123.758,5138804.816,5153988.34,5168684.311,5182900.492,5196643.789,5209921.878,5222742.302,5235114.891,5247052.668,5258570.356,5269680.317,5280392.918,5290714.098,5300646.539,5310190.255,5319347.767,5328122.301,5336522.995,5344563.84,5352261.475,5359628.839,5366670.244,5373385.283,5379775.369,5385840.562,5391579.045,5396987.326,5402060.538,5406791.836,5411173.279,5415194.489,5418843.939,5422108.091,5424971.97,5427418.714,5429429.547
Medium variant,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium variant,901,652840.933,653867.473,654708.53,655399.961,655992.294,656524.042,657007.601,657438.372,657817.906,658142.816,658410.329,658625.67,658792.832,658905.634,658954.718,658933.521,658841.345,658681.433,658456.587,658170.908,657828.166,657430.092,656978.232,656475.739,655926.341,655333.452,654699.61,654027.496,653320.549,652582.699,651817.243,651027.279,650215.172,649382.367,648529.931,647659.202,646772.565,645873.179,644964.004,644048.311,643129.275,642209.4,641291.421,640378.983,639475.928,638585.702,637711.27,636854.749,636017.966,635202.263,634409.37,633640.739,632898.747,632186.473,631507.365,630863.994,630257.96,629689.774,629160.133,628669.046,628216.603,627802.868,627427.812,627090.747,626790.732,626526.711,626297.51,626101.972,625938.633,625806.217,625702.822,625626.393,625574.473,625544.388,625533.141,625537.523,625554.278,625579.901,625610.821,625643.258,625673.282
Medium variant,902,3211983.843,3250859.869,3289414.285,3327628.624,3365492.019,3402993.901,3440111.287,3476827.554,3513147.236,3549082.99,3584640.119,3619812.885,3654582.499,3688925.672,3722812.909,3756220.233,3789132.541,3821543.419,3853447.087,3884841.738,3915722.608,3946082.379,3975908.45,4005185.288,4033894.887,4062022.846,4089560.896,4116505.289,4142851.621,4168597.304,4193740.52,4218280.543,4242216.173,4265545.829,4288267.648,4310383.031,4331892.811,4352803.88,4373131.573,4392895.957,4412113.353,4430792.937,4448938.685,4466555.837,4483647.83,4500219.114,4516277.07,4531829.562,4546882.526,4561441.526,4575512.508,4589101.563,4602216.144,4614866.195,4627062.991,4638816.323,4650134.958,4661024.324,4671486.406,4681521.209,4691131.164,4700319.433,4709095.183,4717473.093,4725470.743,4733102.128,4740372.734,4747283.311,4753836.736,4760034.345,4765876.223,4771360.933,4776486.065,4781247.448,4785640.138,4789656.966,4793289.661,4796528.19,4799361.149,4801775.456,4803756.265
Medium variant,941,531421.835,543549.047,555817.204,568229.989,580795.895,593519.225,606397.226,619420.623,632580.256,645864.293,659262.679,672769.019,686378.96,700086.858,713887.257,727774.809,741743.178,755786.368,769899.295,784077.428,798315.615,812608.138,826948.589,841330.09,855745.124,870186.777,884648.637,899124.886,913609.032,928094.775,942575.898,957046.09,971499.464,985930.268,1000332.764,1014701.309,1029029.9,1043312.52,1057543.799,1071718.514,1085831.225,1099876.264,1113847.36,1127737.826,1141540.413,1155248.32,1168855.682,1182356.963,1195746.254,1209017.788,1222165.849,1235185.101,1248070.318,1260816.556,1273419.048,1285873.169,1298174.628,1310318.885,1322300.822,1334115.185,1345757.339,1357223.537,1368510.879,1379617.095,1390540.304,1401278.713,1411830.148,1422192.336,1432363.761,1442343.301,1452129.805,1461722.059,1471118.844,1480318.856,1489321.261,1498124.991,1506729.579,1515134.595,1523339.811,1531345.459,1539151.746
Medium variant,934,2680562.008,2707310.822,2733597.081,2759398.635,2784696.124,2809474.676,2833714.061,2857406.931,2880566.98,2903218.697,2925377.44,2947043.866,2968203.539,2988838.814,3008925.652,3028445.424,3047389.363,3065757.051,3083547.792,3100764.31,3117406.993,3133474.241,3148959.861,3163855.198,3178149.763,3191836.069,3204912.259,3217380.403,3229242.589,3240502.529,3251164.622,3261234.453,3270716.709,3279615.561,3287934.884,3295681.722,3302862.911,3309491.36,3315587.774,3321177.443,3326282.128,3330916.673,3335091.325,3338818.011,3342107.417,3344970.794,3347421.388,3349472.599,3351136.272,3352423.738,3353346.659,3353916.462,3354145.826,3354049.639,3353643.943,3352943.154,3351960.33,3350705.439,3349185.584,3347406.024,3345373.825,3343095.896,3340584.304,3337855.998,3334930.439,3331823.415,3328542.586,3325090.975,3321472.975,3317691.044,3313746.418,3309638.874,3305367.221,3300928.592,3296318.877,3291531.975,3286560.082,3281393.595,3276021.338,3270429.997,3264604.519
Medium variant,948,2494530.383,2530717.314,2566883.51,2602991.57,2638995.362,2674857.239,2710553.529,2746074.89,2781414.882,2816573.272,2851545.681,2886319.376,2920874.997,2955193.967,2989255.292,3023040.461,3056534.38,3089725.66,3122603.126,3155157.617,3187378.597,3219254.62,3250772.472,3281918.552,3312678.516,3343039.438,3372989.374,3402518.418,3431617.652,3460279.124,3488494.562,3516256.457,3543554.959,3570377.213,3596708.47,3622537.434,3647855.425,3672658.766,3696947.431,3720724.522,3743991.28,3766746.967,3788986.817,3810704.127,3831890.266,3852539.773,3872651.714,3892229.229,3911277.146,3929802.339,3947811.239,3965306.448,3982291.579,3998776.38,4014772.858,4030290.67,4045336.483,4059912.668,4074019.013,4087653.033,4100814.352,4113504.508,4125729.424,4137497.395,4148818.217,4159699.845,4170147.24,4180161.048,4189739.586,4198879.085,4207577.542,4215835.653,4223656.951,4231045.997,4238008.223,4244547.475,4250666.671,4256367.038,4261648.349,4266508.732,4270944.532
Medium variant,1636,268731.394,274772.632,280836.616,286933.595,293080.705,299289.828,305562.177,311891.092,318271.751,324696.782,331160.437,337659.815,344194.599,350764.516,357369.791,364009.857,370682.13,377382.8,384107.861,390852.824,397613.07,404385.364,411165.837,417948.414,424726.125,431493.133,438244.806,444978.236,451690.614,458379.865,465043.566,471678.664,478281.647,484849.318,491378.511,497866.211,504309.213,510704.871,517051.329,523347.355,529591.106,535780.106,541910.912,547979.74,553982.116,559914.059,565772.809,571555.71,577259.348,582880.155,588414.961,593861.197,599216.962,604480.658,609651.13,614727.203,619707.259,624589.775,629373.786,634058.694,638643.728,643127.942,647510.201,651789.644,655965.103,660035.771,664000.897,667859.92,671612.119,675256.92,678793.808,682222.371,685542.441,688753.7,691856.148,694849.721,697734.446,700510.482,703177.868,705736.897,708187.706
Medium variant,1637,35749.107,36072.643,36408.588,36751.54,37093.239,37427.553,37752.91,38070.7,38380.351,38682.173,38976.261,39261.985,39538.778,39807.536,40069.273,40325.06,40575.027,40818.836,41056.171,41286.696,41509.906,41725.944,41934.684,42136.133,42330.098,42516.489,42695.282,42866.431,43029.982,43185.733,43333.609,43473.709,43606.124,43731.16,43849.063,43960.291,44064.999,44163.268,44255.131,44340.825,44420.35,44493.829,44561.53,44623.618,44680.397,44732.145,44778.998,44821.024,44858.074,44889.992,44916.631,44937.975,44954.229,44965.43,44971.815,44973.512,44970.625,44963.075,44950.886,44933.671,44911.498,44884.26,44852.192,44815.429,44774.024,44728.25,44678.19,44623.89,44565.609,44503.71,44438.294,44369.614,44297.647,44222.401,44143.962,44062.247,43977.332,43889.188,43797.986,43703.806,43606.766
Medium variant,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
