Variant,Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estimates,900,1266259.556,1290237.609,1313854.525,1337452.761,1361313.827,1385658.299,1410643.211,1436364.626,1462864.325,1490141.399,1518186.702,1547019.367,1576718.93,1607439.28,1639369.357,1672618.879,1707237.584,1743114.086,1779990.693,1817510.513,1855390.166,1893576.146,1932065.603,1970688.554,2009259.331,2047666.026,2085824.424,2123811.821,2161887.547,2200418.474,2239689.027,2279673.266,2320329.587,2361892.578,2404645.371,2448724.603,2494279.319,2541075.232,2588387.929,2635233.492,2680895.262,2725113.179,2768050.729,2809940.82,2851196.996,2892141.549,2932815.962,2973160.99,3013295.709,3053349.419,3093433.858,3133601.761,3173900.449,3214422.031,3255262.626,3296485.267,3338132.929,3380183.02,3422546.382,3465089.423,3507703.635,3550332.593,3592963.006,3635575.332,3678161.837,3720696.374,3763157.221,3805469.093,3847487.861,3889034.611,3929973.953
Estimates,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,901,388374.204,393034.602,397983.914,403120.16,408362.586,413651.282,418948.622,424237.796,429520.34,434810.911,440123.022,445453.213,450767.484,455995.648,461047.729,465862.373,470402.245,474690.773,478803.203,482850.205,486910.153,491012.34,495128.509,499210.562,503185.153,507001.059,510647.397,514149.362,517535.699,520849.121,524122.953,527357.022,530546.761,533714.614,536887.403,540079.469,543305.565,546548.831,549753.371,552841.896,555758.693,558491.09,561055.162,563459.838,565724.104,567867.678,569893.008,571811.8,573667.522,575514.923,577397.822,579326.926,581305.441,583358.875,585513.626,587783.894,590182.958,592695.344,595269.511,597833.606,600332.392,602740.541,605059.816,607293.796,609456.223,611553.051,613586.072,615535.817,617362.903,619016.674,620463.328
Estimates,902,877885.352,897203.007,915870.611,934332.601,952951.241,972007.017,991694.589,1012126.83,1033343.985,1055330.488,1078063.68,1101566.154,1125951.446,1151443.632,1178321.628,1206756.506,1236835.339,1268423.313,1301187.49,1334660.308,1368480.013,1402563.806,1436937.094,1471477.992,1506074.178,1540664.967,1575177.027,1609662.459,1644351.848,1679569.353,1715566.074,1752316.244,1789782.826,1828177.964,1867757.968,1908645.134,1950973.754,1994526.401,2038634.558,2082391.596,2125136.569,2166622.089,2206995.567,2246480.982,2285472.892,2324273.871,2362922.954,2401349.19,2439628.187,2477834.496,2516036.036,2554274.835,2592595.008,2631063.156,2669749,2708701.373,2747949.971,2787487.676,2827276.871,2867255.817,2907371.243,2947592.052,2987903.19,3028281.536,3068705.614,3109143.323,3149571.149,3189933.276,3230124.958,3270017.937,3309510.625
Estimates,941,97814.645,99643.632,101519.312,103472.751,105527.015,107696.973,109988.971,112401.225,114925.047,117546.64,120252.792,123037.32,125906.136,128879.673,131986.304,135243.341,138665.843,142239.51,145917.097,149633.161,153344.019,157031.625,160719.453,164453.181,168298.579,172305.68,176491.323,180847.941,185370.49,190045.299,194863.971,199832.261,204962.267,210259.145,215728.195,221375.995,227192.933,233183.283,239381.829,245834.457,252567.501,259606.277,266924.316,274433.158,282011.025,289573.773,297078.66,304558.595,312097.052,319816.931,327804.223,336096.587,344658.638,353415.911,362258.912,371113.768,379957.918,388833.157,397808.548,406983.107,416431.562,426172.538,436192.646,446495.098,457074.362,467923.968,479046.77,490440.53,502084.738,513951.412,526016.328
Estimates,934,780070.707,797559.375,814351.299,830859.85,847424.226,864310.044,881705.618,899725.605,918418.938,937783.848,957810.888,978528.834,1000045.31,1022563.959,1046335.324,1071513.165,1098169.496,1126183.803,1155270.393,1185027.147,1215135.994,1245532.181,1276217.641,1307024.811,1337775.599,1368359.287,1398685.704,1428814.518,1458981.358,1489524.054,1520702.103,1552483.983,1584820.559,1617918.819,1652029.773,1687269.139,1723780.821,1761343.118,1799252.729,1836557.139,1872569.068,1907015.812,1940071.251,1972047.824,2003461.867,2034700.098,2065844.294,2096790.595,2127531.135,2158017.565,2188231.813,2218178.248,2247936.37,2277647.245,2307490.088,2337587.605,2367992.053,2398654.519,2429468.323,2460272.71,2490939.681,2521419.514,2551710.544,2581786.438,2611631.252,2641219.355,2670524.379,2699492.746,2728040.22,2756066.525,2783494.297
Estimates,948,585122.782,596399.226,608487.76,621351.385,634955.273,649267.187,664256.733,679896.116,696159.547,713023.698,730467.479,748472.252,767021.828,786102.478,805702.682,825813.593,846430.656,867549.38,889163.795,911268.002,933862.238,956948.407,980539.788,1004659.233,1029336.611,1054599.661,1080437.406,1106859.202,1133934.19,1161750.513,1190361.022,1219775.221,1249941.671,1280771.992,1312143.42,1343950.329,1376153.13,1408719.749,1441558.802,1474567.416,1507663.269,1540808.083,1573984.474,1607161.239,1640315.084,1673436.12,1706504.767,1739536.382,1772604.526,1805810.549,1839235.055,1872896.002,1906792.061,1940959.362,1975434.549,2010239.82,2045393.346,2080881.376,2116652.946,2152634.568,2188768.136,2225024.031,2261399.11,2297891.507,2334508.511,2371247.127,2408089.6,2445000.307,2481935.713,2518843.362,2555677.206
Estimates,1636,51292.297,52286.371,53354.544,54492.389,55696.248,56963.219,58291.115,59678.505,61124.61,62629.093,64191.361,65810.273,67483.268,69206.373,70974.653,72784.382,74630.363,76511.477,78432.333,80400.224,82418.489,84494.425,86621.479,88772.844,90912.506,93017.561,95079.912,97116.177,99159.045,101254.335,103438.252,105716.89,108089.014,110573.839,113191.956,115955.51,118874.76,121940.245,125119.099,128364.913,131642.248,134946.05,138280.982,141634.354,144993.669,148353.751,151704.18,155055.887,158451.612,161949.659,165592.611,169399.495,173361.071,177457.159,181654.373,185929.563,190280.488,194720.27,199259.795,203914.73,208697.979,213607.483,218642.742,223819.162,229155.909,234663.899,240347.366,246194.02,252177.043,258259.58,264412.004
Estimates,1637,12016.363,12233.778,12468.523,12716.341,12974.103,13239.807,13512.501,13792.373,14080.51,14378.544,14687.944,15008.957,15339.787,15676.318,16013.076,16346.109,16673.343,16995.63,17315.671,17637.837,17965.023,18298.515,18636.888,18976.753,19313.393,19643.711,19966.288,20283.069,20598.545,20918.985,21248.87,21589.925,21940.976,22299.583,22661.886,23025.251,23388.404,23752.531,24119.817,24493.726,24876.33,25268.094,25667.266,26070.242,26472.225,26869.434,27262.467,27651.746,28034.267,28405.928,28765.129,29107.788,29436.986,29767.092,30117.559,30501.336,30924.914,31381.235,31853.654,32317.966,32756.756,33164.4,33545.863,33907.353,34259.365,34609.523,34958.635,35304.287,35647.321,35988.107,36326.991
Estimates,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
