Variant,Country_code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Medium variant,900,3929973.953,3970238.39,4009829.762,4048771.753,4087120.942,4124919.51,4162157.763,4198812.392,4234898.159,4270434.917,4305436.923,4339910.899,4373852.542,4407252.206,4440095.078,4472370.475,4504074.999,4535212.764,4565789.971,4595815.916,4625296.608,4654233.005,4682621.447,4710457.158,4737734.121,4764446.974,4790594.256,4816175.164,4841185.395,4865620.342,4889476.137,4912753.565,4935453.152,4957571.573,4979104.64,5000051.771,5020412.842,5040194.527,5059409.622,5078075.475,5096206.21,5113809.325,5130888.155,5147447.724,5163492.01,5179025.428,5194053.78,5208583.307,5222619.255,5236166.642,5249230.689,5261817.116,5273931.257,5285576.852,5296756.94,5307475.523,5317738.95,5327554.308,5336927.273,5345867.581,5354379.377,5362465.335,5370133.905,5377404.012,5384293.799,5390814.762,5396974.743,5402775.716,5408222.031,5413311.47,5418039.595,5422407.012,5426415.421,5430070.263,5433370.147,5436313.144,5438896.622,5441115.977,5442971.345,5444444.032,5445522.121
Medium variant,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium variant,901,620463.328,621687.296,622705.488,623557.533,624301.126,624980.421,625608.738,626181.429,626703.573,627175.925,627599.55,627981.889,628328.623,628636.317,628898.379,629110.583,629273.157,629390.234,629466.744,629508.863,629521.55,629506.805,629464.462,629394.305,629295.283,629166.692,629009.589,628824.987,628611.913,628368.985,628095.388,627792.134,627460.984,627103.269,626720.598,626315.016,625888.454,625443.653,624984.703,624516.521,624043.689,623568.774,623094.684,622626.267,622168.94,621727.068,621303.634,620900.076,620517.938,620157.933,619820.847,619507.662,619219.311,618955.716,618716.43,618500.898,618309.389,618141.532,617995.757,617870.235,617763.255,617673.847,617601.765,617547.14,617510.515,617491.909,617490.886,617506.165,617536.442,617580.138,617635.66,617701.896,617778.062,617863.248,617956.533,618057.253,618164.028,618275.645,618390.438,618506.711,618622.338
Medium variant,902,3309510.625,3348551.094,3387124.274,3425214.22,3462819.816,3499939.089,3536549.025,3572630.963,3608194.586,3643258.992,3677837.373,3711929.01,3745523.919,3778615.889,3811196.699,3843259.892,3874801.842,3905822.53,3936323.227,3966307.053,3995775.058,4024726.2,4053156.985,4081062.853,4108438.838,4135280.282,4161584.667,4187350.177,4212573.482,4237251.357,4261380.749,4284961.431,4307992.168,4330468.304,4352384.042,4373736.755,4394524.388,4414750.874,4434424.919,4453558.954,4472162.521,4490240.551,4507793.471,4524821.457,4541323.07,4557298.36,4572750.146,4587683.231,4602101.317,4616008.709,4629409.842,4642309.454,4654711.946,4666621.136,4678040.51,4688974.625,4699429.561,4709412.776,4718931.516,4727997.346,4736616.122,4744791.488,4752532.14,4759856.872,4766783.284,4773322.853,4779483.857,4785269.551,4790685.589,4795731.332,4800403.935,4804705.116,4808637.359,4812207.015,4815413.614,4818255.891,4820732.594,4822840.332,4824580.907,4825937.321,4826899.783
Medium variant,941,526016.328,538270.221,550704.73,563296.989,576021.345,588857.36,601790.278,614815.531,627936.287,641161.497,654496.203,667936.175,681471.791,695096.492,708802.726,722583.25,736432.39,750345.179,764315.888,778338.749,792407.899,806517.436,820661.064,834831.775,849022.377,863225.872,877436.02,891646.962,905852.389,920046.113,934221.883,948373.759,962496.075,976583.814,990632.207,1004636.393,1018590.689,1032489.431,1046327.044,1060098.073,1073796.963,1087418.293,1100956.381,1114404.637,1127756.432,1141005.22,1154145.564,1167172.243,1180079.837,1192862.945,1205516.388,1218035.217,1230414.705,1242650.316,1254737.687,1266672.636,1278451.502,1290070.285,1301524.121,1312808.005,1323917.694,1334849.898,1345602.612,1356174.648,1366565.756,1376775.377,1386802.298,1396644.875,1406302.115,1415773.073,1425056.954,1434153.369,1443062.176,1451783.557,1460317.821,1468665.365,1476826.756,1484802.775,1492594.176,1500201.917,1507627.037
Medium variant,934,2783494.297,2810280.873,2836419.544,2861917.231,2886798.471,2911081.729,2934758.747,2957815.432,2980258.299,3002097.495,3023341.17,3043992.835,3064052.128,3083519.397,3102393.973,3120676.642,3138369.452,3155477.351,3172007.339,3187968.304,3203367.159,3218208.764,3232495.921,3246231.078,3259416.461,3272054.41,3284148.647,3295703.215,3306721.093,3317205.244,3327158.866,3336587.672,3345496.093,3353884.49,3361751.835,3369100.362,3375933.699,3382261.443,3388097.875,3393460.881,3398365.558,3402822.258,3406837.09,3410416.82,3413566.638,3416293.14,3418604.582,3420510.988,3422021.48,3423145.764,3423893.454,3424274.237,3424297.241,3423970.82,3423302.823,3422301.989,3420978.059,3419342.491,3417407.395,3415189.341,3412698.428,3409941.59,3406929.528,3403682.224,3400217.528,3396547.476,3392681.559,3388624.676,3384383.474,3379958.259,3375346.981,3370551.747,3365575.183,3360423.458,3355095.793,3349590.526,3343905.838,3338037.557,3331986.731,3325735.404,3319272.746
Medium variant,948,2555677.206,2592411.348,2629023.247,2665475.759,2701729.72,2737752.918,2773517.901,2809009.736,2844224.124,2879164.361,2913829.854,2948209.918,2982287.453,3016048.772,3049479.236,3082565.973,3115298.44,3147669.382,3179673.167,3211306.153,3242563.37,3273437.274,3303919.873,3334004.991,3363687.469,3392961.195,3421819.195,3450253.544,3478255.831,3505817.316,3532929.142,3559585.365,3585778.6,3611497.127,3636727.683,3661460.104,3685686.666,3709404.458,3732611.958,3755310.25,3777499.266,3799178.332,3820344.001,3840991.186,3861113.729,3880708.179,3899773.669,3918313.872,3936334.932,3953845.621,3970853.776,3987362.784,4003375.788,4018900.126,4033943.937,4048514.225,4062616.744,4076255.084,4089430.758,4102147.618,4114404.506,4126202.35,4137546.583,4148447.593,4158913.228,4168947.283,4178555.51,4187740.476,4196504.86,4204845.524,4212758.908,4220248.33,4227319.953,4233985.563,4240251.405,4246123.854,4251610.074,4256715.734,4261452.39,4265813.488,4269800.354
Medium variant,1636,264412.004,270624.49,276894.432,283208.805,289554.937,295923.478,302304.991,308697.103,315106.686,321545.585,328022.347,334536.428,341083.15,347662.079,354272.309,360912.258,367580.175,374273.474,380987.837,387718.179,394459.435,401208.377,407961.13,414711.062,421450.894,428174.273,434876.491,441554.463,448204.917,454825.502,461413.406,467965.477,474478.325,480948.936,487374.472,493752.333,500079.376,506353.251,512572.287,518735.486,524841.256,530887.396,536870.968,542788.531,548636.339,554410.918,560109.822,565730.856,571270.93,576726.881,582095.94,587375.824,592564.939,597662.134,602666.607,607577.581,612393.816,617113.879,621736.643,626261.111,630686.326,635011.503,639235.963,643359.043,647380.077,651298.691,655114.474,658827.28,662436.958,665943.47,669346.9,672647.435,675845.4,678941.266,681935.526,684828.804,687621.884,690315.617,692910.971,695408.959,697810.72
Medium variant,1637,36326.991,36664.664,37001.153,37335.161,37664.902,37988.893,38306.748,38618.635,38923.88,39221.783,39511.916,39793.908,40067.72,40333.837,40593.048,40845.957,41092.703,41332.975,41566.701,41793.649,42013.471,42226.254,42432.055,42630.83,42822.595,43007.321,43185.073,43355.802,43519.487,43675.915,43825.09,43967.006,44101.812,44229.669,44350.75,44465.429,44573.716,44675.673,44771.428,44861.074,44944.634,45022.243,45093.916,45159.916,45220.245,45275.118,45324.552,45368.523,45407.051,45439.916,45467.161,45488.666,45504.507,45514.862,45519.868,45519.624,45514.223,45503.767,45487.962,45466.842,45440.209,45408.204,45370.923,45328.499,45281.042,45228.881,45171.91,45110.436,45044.682,44974.864,44901.334,44824.285,44743.856,44660.04,44573.153,44483.041,44390.039,44294.204,44195.759,44095.003,43992.071
Medium variant,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
