Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
900,1785371.783,1808749.089,1831301.851,1852940.369,1874123.362,1895233.693,1916698.28,1938839.11,1961544.13,1985004.14,2009367.01,2034869.631,2060867.542,2087709.412,2115857.417,2151123.464,2188128.373,2226487.256,2265947.268,2306072.04,2346362.154,2386956.801,2426810.4,2465360.325,2502313.496,2540462.204,2576911.453,2612781.949,2645070.995,2674564.117,2704210.505,2733630.574,2764641.939,2797708.407,2831377.429,2865842.733,2901028.834,2936753.581,2972430.419,3007594.615,3040715.364,3071296.467,3100063.852,3126871.309,3152065.592,3175969.181,3198623.437,3219752.754,3239632.505,3258635.736,3276699.476,3290333.648,3300341.416,3309664.99,3318325.973,3326253.52,3334401.687,3342809.033,3350052.125,3356910.791,3363301.013,3371584.714,3380334.349,3388436.123,3395621.099,3401511.157,3406311.597,3410073.507,3413002.007,3415138.305,3416488.365,3417047.481,3416797.665,3415717.534,3413780.18,3410967.454,3407270.082,3402695.488,3397263.558,3391003.567,3383941.098,3376082.064,3367428.644,3357993.198,3347796.979,3336868.463,3325249.071,3312940.857,3299940.686,3286315.544,3272087.978,3257290.043,3241905.375,3226000.633,3209242.44,3191664.753,3173283.873,3154117.815,3134181.863,3113492.23,3092066.591
901,368580.701,367637.101,366813.255,366009.607,365094.959,363958.161,362667.215,361327.074,359817.531,358274.888,356807.537,355411.261,353916.263,352082.375,350017.312,347679.379,345156.917,342511.582,339817.848,337301.05,334992.089,333278.792,331722.313,330192.927,328580.523,326952.867,325903.632,324914.116,323811.965,322900.6,322142.012,321207.645,320616.288,320099.875,319667.177,319282.9,318774.109,318033.986,317280.063,317118.707,317122.494,316434.33,315655.965,314818.458,313817.742,312760.229,311631.873,310416.404,309145.833,307838.296,306624.803,304167.637,301010.921,297924.338,294981.482,292203.514,289738.854,287456.437,285274.083,283141.045,281051.577,279574.158,278311.806,276948.494,275554.028,274117.741,272621.004,271043.704,269362.587,267563.548,265636.847,263581.444,261403.198,259107.974,256704.173,254198.681,251595.506,248896.187,246102.378,243215.185,240237.089,237172.724,234028.44,230811.701,227531.266,224195.404,220811.43,217393.84,213959.363,210514.102,207063.162,203615.652,200189.195,196794.856,193437.213,190117.77,186837.208,183595.667,180392.371,177226.16,174096.318
902,1416791.082,1441111.988,1464488.596,1486930.762,1509028.403,1531275.532,1554031.065,1577512.036,1601726.599,1626729.252,1652559.473,1679458.37,1706951.279,1735627.037,1765840.105,1803444.085,1842971.456,1883975.674,1926129.42,1968770.99,2011370.065,2053678.009,2095088.087,2135167.398,2173732.973,2213509.337,2251007.821,2287867.833,2321259.03,2351663.517,2382068.493,2412422.929,2444025.651,2477608.532,2511710.252,2546559.833,2582254.725,2618719.595,2655150.356,2690475.908,2723592.87,2754862.137,2784407.887,2812052.851,2838247.85,2863208.952,2886991.564,2909336.35,2930486.672,2950797.44,2970074.673,2986166.011,2999330.495,3011740.652,3023344.491,3034050.006,3044662.833,3055352.596,3064778.042,3073769.746,3082249.436,3092010.556,3102022.543,3111487.629,3120067.071,3127393.416,3133690.593,3139029.803,3143639.42,3147574.757,3150851.518,3153466.037,3155394.467,3156609.56,3157076.007,3156768.773,3155674.576,3153799.301,3151161.18,3147788.382,3143704.009,3138909.34,3133400.204,3127181.497,3120265.713,3112673.059,3104437.641,3095547.017,3085981.323,3075801.442,3065024.816,3053674.391,3041716.18,3029205.777,3015805.227,3001546.983,2986446.665,2970522.148,2953789.492,2936266.07,2917970.273
941,180539.535,183679.31,186843.29,190097.39,193487.64,197046.518,200789.509,204719.192,208828.333,213091.672,217487.208,221999.933,226603.77,231345.902,236265.738,241395.898,246759.939,252258.904,257850.174,263396.707,268860.068,274087.309,279151.699,284205.682,289368.556,296659.927,302247.237,307983.997,313852.122,319945.685,325891.978,332215.793,339338.712,346536.496,353772.772,361115.232,368644.686,376353.97,384253.999,392518.778,400989.093,409888.737,419173.709,428708.248,438579.798,448520.286,458409.521,468215.175,478118.64,488197.825,498490.034,508706.243,518936.949,529194.359,539438.68,549498.898,559480.49,569732.171,579298.38,588947.939,598778.731,608820.125,619180.099,629683.67,640209.526,650680.352,661073.14,671396.722,681645.302,691827.792,701945.822,711987.516,721930.224,731752.626,741430.226,750942.655,760275.854,769421.159,778371.054,787120.855,795666.845,803995.729,812096.649,819962.882,827589.454,834978.84,842127.573,849036.976,855661.522,862007.239,868062.234,873826.286,879278.95,884423.863,889240.346,893721.119,897861.996,901659.622,905112.173,908219.144,910979.582
934,1236251.547,1257432.678,1277645.306,1296833.372,1315540.763,1334229.014,1353241.556,1372792.844,1392898.266,1413637.58,1435072.265,1457458.437,1480347.509,1504281.135,1529574.367,1562048.187,1596211.517,1631716.77,1668279.246,1705374.283,1742509.997,1779590.7,1815936.388,1850961.716,1884364.417,1916849.41,1948760.584,1979883.836,2007406.908,2031717.832,2056176.515,2080207.136,2104686.939,2131072.036,2157937.48,2185444.601,2213610.039,2242365.625,2270896.357,2297957.13,2322603.777,2344973.4,2365234.178,2383344.603,2399668.052,2414688.666,2428582.043,2441121.175,2452368.032,2462599.615,2471584.639,2477459.768,2480393.546,2482546.293,2483905.811,2484551.108,2485182.343,2485620.425,2485479.662,2484821.807,2483470.705,2483190.431,2482842.444,2481803.959,2479857.545,2476713.064,2472617.453,2467633.081,2461994.118,2455746.965,2448905.696,2441478.521,2433464.243,2424856.934,2415645.781,2405826.118,2395398.722,2384378.142,2372790.126,2360667.527,2348037.164,2334913.611,2321303.555,2307218.615,2292676.259,2277694.219,2262310.068,2246510.041,2230319.801,2213794.203,2196962.582,2179848.105,2162437.23,2144781.914,2126564.881,2107825.864,2088584.669,2068862.526,2048677.319,2028046.926,2006990.691
948,921933.042,934891.465,949516.224,964998.566,981273.009,998306.078,1016079.881,1034554.779,1053624.555,1073306.608,1093633.426,1114772.178,1136088.31,1157845.378,1180018.466,1202718.028,1225871.843,1249241.153,1272722.113,1296388.526,1320279.673,1344445.246,1368103.704,1391976.318,1416139.326,1442592.443,1467492.319,1492743.639,1518303.648,1544530.325,1571075.049,1597891.245,1626313.615,1655013.219,1683647.927,1712176.661,1740619.106,1769193.619,1797746.081,1826220.508,1854287.261,1883716.597,1913190.307,1942405.86,1971519.025,2000458.073,2029263.695,2057630.315,2085655.382,2113451.609,2140671.357,2167535.536,2193226.164,2218604.055,2243637.81,2268146.922,2292363.295,2316667.445,2340017.648,2363137.112,2385999.873,2409492.354,2433015.119,2456163.818,2478714.203,2500296.374,2521141.172,2541213.283,2560439.789,2578826.559,2596363.58,2613026.67,2628768.398,2643530.485,2657245.567,2669862.959,2681354.667,2691716.472,2700953.673,2709083.376,2716120.668,2722062.368,2726902.227,2730643.934,2733300.174,2734892.56,2735458.06,2734987.421,2733464.956,2730954.472,2727476.957,2723058.396,2717667.265,2711357.5,2704141.179,2696034.869,2687050.125,2677200.641,2666500.173,2654964.099,2642608.102
1503,279213.855,278753.798,278489.726,278334.076,278178.773,277920.311,277587.114,277249.931,276851.142,276402.546,275974.927,275685.584,275351.612,274737.174,273958.917,273022.305,271941.235,270565.903,269100.451,267795.777,266625.179,266060.701,265603.084,265142.373,264571.449,263873.319,263541.412,263228.014,262805.841,262361.158,261801.876,260970.028,260465.165,260076.651,259758.584,259451.728,258815.034,257878.402,257036.481,256482.351,255759.329,254902.766,254223.319,253515.06,252735.584,251925.35,251210.045,250487.761,249726.116,248946.169,248281.313,246310.726,243683.897,241267.771,239002.91,236896.456,235161.36,233622.165,232148.14,230678.214,229169.445,228263.203,227530.908,226668.282,225771.559,224847.589,223881.131,222847.27,221729.757,220513.695,219189.17,217756.07,216222.072,214594.298,212882.269,211092.967,209229.551,207291.58,205278.043,203186.647,201016.711,198770.716,196452.951,194066.867,191617.249,189109.084,186547.827,183946.453,181308.409,178639.295,175943.878,173228.058,170510.308,167806.528,165120.482,162454.688,159810.617,157189.101,154590.54,152014.964,149462.687
1517,1389446.043,1411795.133,1433025.457,1453110.548,1472605.375,1491995.515,1511682.708,1531929.602,1552698.575,1574199.228,1596530.114,1619800.084,1643556.672,1668374.046,1694549.579,1727865.012,1762921.161,1799501.279,1837294.109,1875622.527,1913918.11,1951561.492,1988314.141,2023717.378,2057600.192,2092768.246,2125750.64,2158088.133,2186908.927,2212800.029,2238923.933,2265146.341,2292593.881,2321945.881,2351706.786,2382131.964,2413373.825,2445224.86,2476725.096,2507089.578,2535382.593,2560923.301,2584195.994,2605280.746,2624637.37,2642634.335,2659244.782,2674342.078,2688073.175,2700754.545,2712144.272,2720235.693,2725053.587,2728765.311,2731474.555,2733259.318,2734823.184,2735966.091,2736417.194,2736347.651,2735698.954,2736180.875,2736672.809,2736511.957,2735407.448,2733012.089,2729566.523,2725151.107,2719999.603,2714171.768,2707689.057,2700558.762,2692769.276,2684301.814,2675129.421,2665236.765,2654622.166,2643304.254,2631313.377,2618689.763,2605466.881,2591663.242,2577284.19,2562348.934,2546883.051,2530919.465,2514503.92,2497631.59,2480302.865,2462580.669,2444490.792,2426058.547,2407270.503,2388175.386,2368457.08,2348156.446,2327294.249,2305893.34,2283973.141,2261553.355,2238655.12
1502,745116.115,758630.119,769636.524,778906.572,787036.963,794524.902,801791.93,809106.309,816451.059,823934.374,831617.519,839601.714,847912.527,856863.427,866788.583,883518.168,901604.448,920948.233,941195.812,961690.011,981853.354,1001357.971,1020509.813,1038125.618,1053900.703,1068633.359,1082704.252,1095721.524,1104847.034,1110482.064,1116042.468,1121113.359,1125705.436,1131953.059,1138660.563,1146136.209,1154593.317,1163788.428,1172808.026,1180834.9,1187044.415,1189894.596,1190562.728,1189342.591,1186557.509,1182603.526,1177611.597,1171520.468,1164431.94,1156536.205,1147787.352,1136111.189,1122595.209,1108400.776,1093623.318,1078424.033,1063360.271,1048252.354,1032878.592,1017385.771,1001692.952,987100.549,972918.597,958602.636,943902.012,928751.657,913126.371,897150.303,881117.01,865084.453,849086.12,833141.036,817276.918,801546.299,786007.519,770706.485,755666.584,740900.656,726427.852,712264.114,698422.764,684915.548,671749.265,658930.5,646464.16,634347.97,622585.6,611178.67,600141.022,589463.385,579147.279,569196.212,559608.447,550389.33,541176.449,531988.286,522829.948,513706.839,504621.522,495576.066,486573.741
1501,644329.928,653165.014,663388.933,674203.976,685568.412,697470.613,709890.778,722823.293,736247.516,750264.854,764912.595,780198.37,795644.145,811510.619,827760.996,844346.844,861316.713,878553.046,896098.297,913932.516,932064.756,950203.521,967804.328,985591.76,1003699.489,1024134.887,1043046.388,1062366.609,1082061.893,1102317.965,1122881.465,1144032.982,1166888.445,1189992.822,1213046.223,1235995.755,1258780.508,1281436.432,1303917.07,1326254.678,1348338.178,1371028.705,1393633.266,1415938.155,1438079.861,1460030.809,1481633.185,1502821.61,1523641.235,1544218.34,1564356.92,1584124.504,1602458.378,1620364.535,1637851.237,1654835.285,1671462.913,1687713.737,1703538.602,1718961.88,1734006.002,1749080.326,1763754.212,1777909.321,1791505.436,1804260.432,1816440.152,1828000.804,1838882.593,1849087.315,1858602.937,1867417.726,1875492.358,1882755.515,1889121.902,1894530.28,1898955.582,1902403.598,1904885.525,1906425.649,1907044.117,1906747.694,1905534.925,1903418.434,1900418.891,1896571.495,1891918.32,1886452.92,1880161.843,1873117.284,1865343.513,1856862.335,1847662.056,1837786.056,1827280.631,1816168.16,1804464.301,1792186.501,1779351.619,1765977.289,1752081.379
