Variant,Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Estimates,900,2536431.149,2584034.261,2630861.562,2677608.96,2724846.741,2773019.936,2822443.282,2873306.09,2925686.705,2979576.185,3034949.748,3091843.507,3150420.795,3211001.009,3273978.338,3339583.597,3407922.63,3478769.962,3551599.127,3625680.627,3700437.046,3775759.617,3851650.245,3927780.238,4003794.172,4079480.606,4154666.864,4229506.06,4304533.501,4380506.1,4458003.514,4536996.762,4617386.542,4699569.304,4784011.621,4870921.74,4960567.912,5052522.147,5145426.008,5237441.558,5327231.061,5414289.444,5498919.809,5581597.546,5663150.427,5744212.979,5824891.951,5905045.788,5984793.942,6064239.055,6143493.823,6222626.606,6301773.188,6381185.114,6461159.389,6541907.027,6623517.833,6705946.61,6789088.686,6872767.093,6956823.603,7041194.301,7125828.059,7210581.976,7295290.765,7379797.139,7464022.049,7547858.925,7631091.04,7713468.1,7794798.739
Estimates,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,901,814818.933,824003.485,833720.11,843787.537,854060.435,864429.559,874823.494,885207.033,895575.915,905949.208,916344.43,926751.847,937111.463,947303.436,957175.314,966624.227,975584.954,984097.397,992293.285,1000365.715,1008451.909,1016600.631,1024762.92,1032860.7,1040773.565,1048416.255,1055773.917,1062884.683,1069781.193,1076514.346,1083125.604,1089607.32,1095957.04,1102226.855,1108482.428,1114763.098,1121097.65,1127452.59,1133726.574,1139778.952,1145507.718,1150893.504,1155966.372,1160736.96,1165231.615,1169481.5,1173489.795,1177284.128,1180954.314,1184615.528,1188359.413,1192204.299,1196155.652,1200271.289,1204613.391,1209215.008,1214107.078,1219250.466,1224518.3,1229735.169,1234767.502,1239557.483,1244114.546,1248453.523,1252615.118,1256622.25,1260478.716,1264146.382,1267558.911,1270630.277,1273304.251
Estimates,902,1721612.216,1760030.776,1797141.452,1833821.423,1870786.306,1908590.377,1947619.788,1988099.057,2030110.79,2073626.977,2118605.318,2165091.66,2213309.332,2263697.573,2316803.024,2372959.37,2432337.676,2494672.565,2559305.842,2625314.912,2691985.137,2759158.986,2826887.325,2894919.538,2963020.607,3031064.351,3098892.947,3166621.377,3234752.308,3303991.754,3374877.91,3447389.442,3521429.502,3597342.449,3675529.193,3756158.642,3839470.262,3925069.557,4011699.434,4097662.606,4181723.343,4263395.94,4342953.437,4420860.586,4497918.812,4574731.479,4651402.156,4727761.66,4803839.628,4879623.527,4955134.41,5030422.307,5105617.536,5180913.825,5256545.998,5332692.019,5409410.755,5486696.144,5564570.386,5643031.924,5722056.101,5801636.818,5881713.513,5962128.453,6042675.647,6123174.889,6203543.333,6283712.543,6363532.129,6442837.823,6521494.488
Estimates,941,195427.813,199180.331,203015.118,206985.627,211133.049,215486.308,220061.418,224862.301,229882.017,235105.696,240518.433,246113.64,251900.741,257908.074,264174.179,270720.892,277573.029,284708.409,292045.744,299473.256,306916.896,314344.629,321797.581,329357.353,337142.681,345242.71,353691.338,362475.112,371577.256,380963.304,390612.563,400528.924,410740.611,421279.107,432185.325,443491.288,455193.656,467290.514,479814.021,492803.028,506275.612,520262.423,534731.006,549559.264,564581.083,579681.672,594801.259,609983.301,625342.098,641046.802,657215.864,673903.112,691061.397,708587.948,726331.177,744190.51,762132.501,780219.542,798563.392,817322.629,836614.86,856471.44,876867.289,897793.417,919222.937,941131.317,963519.716,986385.421,1009691.222,1033388.876,1057438.182
Estimates,934,1526184.403,1560850.445,1594126.334,1626835.796,1659653.257,1693104.069,1727558.37,1763236.756,1800228.773,1838521.281,1878086.885,1918978.02,1961408.591,2005789.499,2052628.845,2102238.478,2154764.647,2209964.156,2267260.098,2325841.656,2385068.241,2444814.357,2505089.744,2565562.185,2625877.926,2685821.641,2745201.609,2804146.265,2863175.052,2923028.45,2984265.347,3046860.518,3110688.891,3176063.342,3243343.868,3312667.354,3384276.606,3457779.043,3531885.413,3604859.578,3675447.731,3743133.517,3808222.431,3871301.322,3933337.729,3995049.807,4056600.897,4117778.359,4178497.53,4238576.725,4297918.546,4356519.195,4414556.139,4472325.877,4530214.821,4588501.509,4647278.254,4706476.602,4766006.994,4825709.295,4885441.241,4945165.378,5004846.224,5064335.036,5123452.71,5182043.572,5240023.617,5297327.122,5353840.907,5409448.947,5464056.306
Estimates,948,1157420.103,1179932.774,1203962.785,1229440.116,1256302.724,1284496.733,1313976.687,1344705.1,1376652.138,1409793.636,1444107.271,1479568.162,1516144.814,1553797.475,1592483.124,1632168.799,1672841.709,1714499.779,1757138.216,1800757.19,1845364.17,1890968.784,1937592.252,1985264.188,2034022.533,2083907.956,2134887.384,2186987.637,2240373.183,2295259.3,2351776.404,2409960.438,2469693.822,2530756.147,2592840.995,2655695.352,2719226.954,2783394.463,2848054.684,2913059.724,2978289.403,3043665.928,3109146.995,3174700.298,3240313.943,3305985.171,3371698.022,3437456.069,3503309.154,3569329.213,3635583.009,3702081.132,3768852.384,3836005.67,3903674.97,3971957.494,4040882.381,4110430.515,4180584.755,4251306.917,4322553.385,4394312.992,4466549.329,4539157.391,4612004.828,4684981.461,4758019.404,4831087.299,4904154.517,4977203.662,5050207.621
Estimates,1636,103803.435,105870.227,108079.423,110422.95,112894.264,115488.185,118200.931,121030.369,123975.289,127035.447,130210.264,133497.227,136891.354,140384.282,143965.778,147627.727,151360.247,155160.807,159036.602,162999.595,167054.835,171216.114,175471.489,179770.278,184044.403,188250.866,192374.94,196449.694,200540.036,204737.16,209112.918,213677.223,218427.901,223408.809,228668.601,234235.225,240137.124,246350.703,252785.858,259316.898,265852.021,272365.873,278882.194,285419.497,292014.259,298698.439,305470.569,312333.925,319332.686,326523.056,333947.035,341630.343,349570.83,357748.037,366126.832,374684.87,383416.638,392342.503,401496.601,410925.266,420661.359,430709.347,441057.075,451698.881,462623.533,473816.878,485276.852,496988.243,508906.024,520972.677,533143.452
Estimates,1637,23771.188,24209.107,24684.499,25187.437,25710.431,26248.813,26800.742,27366.965,27950.646,28556.342,29187.977,29846.548,30527.7,31221.359,31913.951,32595.518,33261.26,33913.426,34558.828,35207.916,35868.068,36542.322,37227.026,37914.808,38594.921,39260.278,39907.899,40542.321,41172.762,41812.554,42471.226,43152.263,43853.068,44570.255,45297.903,46031.695,46770.054,47514.429,48266.883,49030.703,49807.641,50597.767,51398.043,52203.247,53006.491,53802.297,54591.588,55374.447,56144.033,56891.873,57613.589,58302.198,58963.262,59620.691,60307.168,61044.582,61842.984,62691.372,63564.913,64427.632,65253.175,66034.534,66778.778,67490.739,68180.394,68855.575,69514.994,70157.538,70791.824,71428.792,72076.101
Estimates,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
