Variant,Country_code,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Mediumvariant,900,7794798.739,7874965.825,7953952.567,8031800.429,8108605.388,8184437.46,8259276.737,8333078.316,8405863.295,8477660.693,8548487.4,8618349.489,8687227.85,8755083.431,8821862.661,8887524.213,8952048.94,9015437.653,9077693.676,9138828.468,9198847.24,9257745.535,9315508.05,9372118.186,9427555.367,9481803.274,9534854.828,9586707.986,9637357.637,9686800.357,9735033.99,9782061.551,9827884.64,9872499.765,9915902.218,9958094.074,9999078.316,10038871.46,10077505.22,10115019.65,10151448.76,10186811.59,10221118.37,10254382.51,10286615.75,10317830.21,10348042.08,10377267.71,10405519.68,10432810.41,10459152.51,10484559.38,10509046.18,10532629.59,10555327.28,10577155.89,10598131.96,10618268.33,10637573.9,10656054.44,10673719.47,10690576.97,10706644.43,10721951.21,10736532.84,10750416.74,10763615.21,10776129.37,10787962.32,10799112.05,10809575.8,10819350.48,10828432.71,10836817.18,10844496.73,10851460.6,10857694.25,10863179.44,10867893.85,10871811.48,10874902.32
Mediumvariant,1803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mediumvariant,901,1273304.251,1275554.771,1277414.029,1278957.462,1280293.408,1281504.497,1282616.313,1283619.864,1284521.485,1285318.674,1286009.893,1286607.599,1287121.475,1287541.948,1287853.079,1288044.125,1288114.516,1288071.714,1287923.283,1287679.769,1287349.661,1286936.9,1286442.716,1285870.097,1285221.64,1284500.122,1283709.19,1282852.486,1281932.49,1280951.683,1279912.614,1278819.419,1277676.186,1276485.659,1275250.498,1273974.17,1272661.027,1271316.819,1269948.734,1268564.798,1267172.939,1265778.125,1264386.109,1263005.249,1261644.857,1260312.788,1259014.842,1257754.816,1256535.845,1255360.21,1254230.13,1253148.376,1252118.067,1251142.237,1250223.751,1249364.931,1248567.34,1247831.294,1247155.94,1246539.248,1245979.824,1245476.678,1245029.542,1244637.873,1244301.246,1244018.625,1243788.369,1243608.054,1243475.092,1243386.267,1243338.447,1243328.365,1243352.572,1243407.593,1243489.698,1243594.78,1243718.294,1243855.57,1244001.272,1244149.944,1244295.584
Mediumvariant,902,6521494.488,6599411.054,6676538.538,6752842.967,6828311.98,6902932.963,6976660.424,7049458.452,7121341.81,7192342.019,7262477.507,7331741.89,7400106.375,7467541.483,7534009.582,7599480.088,7663934.424,7727365.939,7789770.393,7851148.699,7911497.579,7970808.635,8029065.334,8086248.089,8142333.727,8197303.152,8251145.638,8303855.5,8355425.147,8405848.674,8455121.376,8503242.132,8550208.454,8596014.106,8640651.72,8684119.904,8726417.289,8767554.636,8807556.484,8846454.851,8884275.822,8921033.463,8956732.263,8991377.256,9024970.889,9057517.417,9089027.239,9119512.898,9148983.837,9177450.199,9204922.377,9231411.006,9256928.115,9281487.355,9305103.526,9327790.958,9349564.618,9370437.039,9390417.963,9409515.195,9427739.65,9445100.289,9461614.883,9477313.335,9492231.596,9506398.114,9519826.845,9532521.319,9544487.227,9555725.781,9566237.355,9576022.119,9585080.136,9593409.582,9601007.028,9607865.817,9613975.955,9619323.868,9623892.576,9627661.534,9630606.734
Mediumvariant,941,1057438.182,1081819.327,1106521.913,1131527.104,1156817.303,1182376.605,1208187.468,1234236.141,1260516.536,1287025.804,1313758.9,1340705.197,1367850.756,1395183.356,1422689.973,1450358.034,1478175.578,1506131.566,1534215.213,1562416.19,1590723.457,1619125.583,1647609.62,1676161.86,1704767.53,1733412.605,1762084.659,1790771.849,1819461.479,1848140.88,1876797.763,1905419.904,1933995.558,1962514.07,1990964.956,2019337.743,2047620.629,2075801.906,2103870.781,2131816.583,2159628.15,2187294.571,2214803.742,2242142.463,2269296.783,2296253.578,2323001.301,2349529.268,2375826.129,2401880.687,2427682.268,2453220.327,2478485.024,2503466.864,2528156.792,2552545.804,2576626.106,2600389.163,2623824.957,2646923.206,2669675.012,2692073.369,2714113.462,2735791.71,2757106.027,2778054.044,2798632.41,2818837.176,2838665.895,2858116.375,2877186.714,2895875.387,2914181.021,2932102.404,2949638.998,2966790.352,2983556.374,2999937.331,3015934.007,3031547.334,3046778.775
Mediumvariant,934,5464056.306,5517591.727,5570016.625,5621315.863,5671494.677,5720556.358,5768472.956,5815222.311,5860825.274,5905316.215,5948718.607,5991036.693,6032255.619,6072358.127,6111319.609,6149122.054,6185758.846,6221234.373,6255555.18,6288732.509,6320774.122,6351683.052,6381455.714,6410086.229,6437566.197,6463890.547,6489060.979,6513083.651,6535963.668,6557707.794,6578323.613,6597822.228,6616212.896,6633500.036,6649686.764,6664782.161,6678796.66,6691752.73,6703685.703,6714638.268,6724647.672,6733738.892,6741928.521,6749234.793,6755674.106,6761263.839,6766025.938,6769983.63,6773157.708,6775569.512,6777240.109,6778190.679,6778443.091,6778020.491,6776946.734,6775245.154,6772938.512,6770047.876,6766593.006,6762591.989,6758064.638,6753026.92,6747501.421,6741521.625,6735125.569,6728344.07,6721194.435,6713684.143,6705821.332,6697609.406,6689050.641,6680146.732,6670899.115,6661307.178,6651368.03,6641075.465,6630419.581,6619386.537,6607958.569,6596114.2,6583827.959
Mediumvariant,948,5050207.621,5123128.733,5195906.754,5268467.45,5340725.219,5412610.137,5484071.539,5555084.561,5625638.985,5695737.674,5765375.546,5834529.289,5903162.4,5971242.652,6038734.491,6105606.372,6171832.845,6237395.035,6302276.373,6366463.67,6429941.879,6492691.954,6554692.255,6615923.465,6676365.991,6736000.659,6794808.629,6852771.999,6909873.525,6966096.454,7021423.808,7075841.985,7129333.662,7181874.327,7233436.179,7283997.64,7333542.183,7382063.088,7429559.363,7476034.704,7521490.497,7565925.266,7609330.923,7651695.267,7693003.997,7733247.904,7772425.388,7810543.213,7847612.078,7883647.945,7918665.043,7952669.23,7985667.391,8017676.539,8048716.82,8078804.909,8107953.306,8136167.719,8163449.825,8189797.299,8215211.208,8239696.216,8263263.572,8285928.363,8307709.032,8328620.281,8348673.004,8367869.977,8386209.347,8403684.714,8420293.644,8436040.064,8450933.612,8464986.675,8478212.91,8490624.28,8502230.433,8513038.112,8523051.248,8532270.954,8540695.584
Mediumvariant,1636,533143.452,545397.133,557731.037,570142.44,582635.707,595213.304,607867.124,620588.173,633378.401,646242.404,659182.791,672196.202,685277.767,698426.584,711642.117,724922.042,738262.302,751656.265,765095.71,778570.975,792072.514,805593.789,819126.936,832659.448,846177.06,859667.384,873121.318,886532.7,899895.581,913205.375,926457.025,939644.19,952759.959,965798.269,978752.962,991618.569,1004388.598,1017058.037,1029623.615,1042082.847,1054432.363,1066667.505,1078781.936,1090768.288,1102618.434,1114324.972,1125882.64,1137286.544,1148530.264,1159607.012,1170510.874,1181237.036,1191781.885,1202142.784,1212317.75,1222304.805,1232101.077,1241703.613,1251110.449,1260319.807,1269330.03,1278139.402,1286746.181,1295148.645,1303345.218,1311334.434,1319115.348,1326687.131,1334049.047,1341200.383,1348140.669,1354869.853,1361387.855,1367694.954,1373791.659,1379678.53,1385356.364,1390826.102,1396088.827,1401145.824,1405998.438
Mediumvariant,1637,72076.101,72737.324,73409.753,74086.786,74758.162,75416.407,76059.753,76689.29,77304.173,77903.91,78488.224,79055.872,79606.5,80141.263,80662.314,81171.058,81667.714,82151.807,82622.913,83080.284,83523.382,83952.194,84366.724,84766.952,85152.665,85523.801,85880.351,86222.301,86549.431,86861.645,87158.746,87440.777,87708.002,87960.835,88199.912,88425.816,88638.751,88838.942,89026.574,89201.873,89364.947,89516.047,89655.499,89783.519,89900.663,90007.184,90103.509,90189.586,90265.124,90329.894,90383.782,90426.662,90458.767,90480.325,90491.703,90493.146,90484.909,90466.827,90438.862,90400.497,90351.72,90292.469,90223.133,90143.92,90055.088,89957.107,89850.099,89734.3,89610.272,89478.575,89339.686,89193.888,89041.474,88882.539,88717.05,88545.265,88367.346,88183.39,87993.743,87798.753,87598.873
Mediumvariant,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
