Country_code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
900,750902.938,775067.697,799282.533,824289.989,850179.106,877008.842,904685.164,933113.168,962537.113,992820.546,1023845.517,1055435.648,1088376.703,1122561.94,1157813.355,1188469.224,1219993.032,1252566.565,1285933.432,1319833.474,1354215.496,1388834.099,1424734.781,1462178.37,1501134.655,1538624.994,1577376.141,1616419.308,1659306.117,1706021.638,1754201.029,1804215.203,1854134.229,1903822.436,1955106.433,2007939.063,2062604.394,2118882.551,2176126.537,2233140.502,2290228.096,2347462.336,2404337.297,2461223.528,2518254.111,2575505.235,2632941.583,2690813.541,2749213.598,2808231.655,2868307.513,2933078.51,3001808.223,3071743.997,3143044.892,3215905.863,3289446.226,3363609.56,3439719.128,3516830.263,3594868.146,3671423.872,3747842.586,3824990.329,3902831.934,3981497.663,4060652.683,4140188.594,4219817.318,4299438.618,4378993.944,4458417.153,4537671.317,4616769.941,4695752.643,4774646.303,4853440.042,4932106.155,5010636.794,5089023.789,5167257.546,5245333.711,5323244.862,5400979.916,5478518.637,5555833.477,5632877.62,5709649.218,5786163.111,5862368.105,5938249.026,6013773.23,6088940.515,6163655.296,6238212.209,6312544.819,6386625.322,6460427.625,6533911.569,6607033.749,6679756.162
901,446284.368,456575.564,467261.134,478253.908,489536.818,501111.283,512839.876,524586.824,536474.584,548393.608,560260.383,572073.665,583943.033,595983.035,607924.759,619701.507,631156.4,642272.668,653120.921,663687.083,674089.69,683995.567,693788.559,703506.784,713119.95,722460.807,730917.058,739049.913,747067.516,754723.451,762102.059,769523.845,776467.22,783257.814,789959.654,796652.123,803539.315,810693.012,817790.29,824077.95,829876.697,836020.274,841937.198,847610.802,853177.628,858565.242,863794.367,868902.322,873926.992,878938.793,883879.932,890091.106,897039.491,904042.393,911130.448,918342.016,925585.705,932935.572,940278.083,947392.812,954090.929,959723.611,964742.765,969571.493,974309.491,979088.805,983955.158,988878.789,993837.09,998771.644,1003639.999,1008431.373,1013159.579,1017835.203,1022476.827,1027097.159,1031698.148,1036271.092,1040805.033,1045284.847,1049699.464,1054044.174,1058321.874,1062536.642,1066695.645,1070804.16,1074860.992,1078855.669,1082780.316,1086638.285,1090432.552,1094159.188,1097804.944,1101364.577,1104839.169,1108231.274,1111544.994,1114780.956,1117935.041,1121000.402,1123972.267
902,304618.57,318492.133,332021.399,346036.081,360642.288,375897.559,391845.288,408526.344,426062.529,444426.938,463585.134,483361.983,504433.67,526578.905,549888.596,568767.717,588836.632,610293.897,632812.511,656146.391,680125.806,704838.532,730946.222,758671.586,788014.705,816164.187,846459.083,877369.395,912238.601,951298.187,992098.97,1034691.358,1077667.009,1120564.622,1165146.779,1211286.94,1259065.079,1308189.539,1358336.247,1409062.552,1460351.399,1511442.062,1562400.099,1613612.726,1665076.483,1716939.993,1769147.216,1821911.219,1875286.606,1929292.862,1984427.581,2042987.404,2104768.732,2167701.604,2231914.444,2297563.847,2363860.521,2430673.988,2499441.045,2569437.451,2640777.217,2711700.261,2783099.821,2855418.836,2928522.443,3002408.858,3076697.525,3151309.805,3225980.228,3300666.974,3375353.945,3449985.78,3524511.738,3598934.738,3673275.816,3747549.144,3821741.894,3895835.063,3969831.761,4043738.942,4117558.082,4191289.537,4264922.988,4338443.274,4411822.992,4485029.317,4558016.628,4630793.549,4703382.795,4775729.82,4847816.474,4919614.042,4991135.571,5062290.719,5133373.04,5204313.545,5275080.328,5345646.669,5415976.528,5486033.347,5555783.895
941,14719.521,15372.826,16061.57,16787.63,17557.418,18374.545,19243.495,20165.731,21138.744,22167.8,23254.988,24406.537,25660.571,27006.821,28456.098,30004.604,31659.987,33492.637,35442.644,37505.877,39626.305,41917.323,44354.803,46889.547,49551.739,50433.199,53406.373,56597.157,60002.294,63484.171,67387.325,71192.888,74507.887,78077.421,81964.918,86125.749,90471.049,95010.968,99779.066,104658.099,109838.483,115131.631,120546.741,126095.933,131522.16,136975.889,142516.641,148221.873,154028.181,160031.287,166314.729,173225.983,180623.79,188378.533,196357.903,204619.174,213008.476,221245.97,230432.617,240005.381,250013.231,260477.981,271243.375,282410.326,293982.795,305950.756,318314.785,331089.235,344291.432,357936.884,372038.455,386603.216,401632.51,417126.522,433082.328,449497.922,466373.687,483712.416,501516.63,519789.017,538528.855,557739.726,577419.488,597563.121,618162.839,639203.794,660677.785,682572.199,704920.386,727703.962,750922.274,774564.311,798637.907,823124.048,848026.598,873337.942,899048.697,925152.078,951642.311,978514.376,1005761.999
934,289899.049,303119.307,315959.829,329248.451,343084.87,357523.014,372601.793,388360.613,404923.785,422259.138,440330.146,458955.446,478773.099,499572.084,521432.498,538763.113,557176.645,576801.26,597369.867,618640.514,640499.501,662921.209,686591.419,711782.039,738462.966,765730.988,793052.71,820772.238,852236.307,887814.016,924711.645,963498.47,1003159.122,1042487.201,1083181.861,1125161.191,1168594.03,1213178.571,1258557.181,1304404.453,1350512.916,1396310.431,1441853.358,1487516.793,1533554.323,1579964.104,1626630.575,1673689.346,1721258.425,1769261.575,1818112.852,1869761.421,1924144.942,1979323.071,2035556.541,2092944.673,2150852.045,2209428.018,2269008.428,2329432.07,2390763.986,2451222.28,2511856.446,2573008.51,2634539.648,2696458.102,2758382.74,2820220.57,2881688.796,2942730.09,3003315.49,3063382.564,3122879.228,3181808.216,3240193.488,3298051.222,3355368.207,3412122.647,3468315.131,3523949.925,3579029.227,3633549.811,3687503.5,3740880.153,3793660.153,3845825.523,3897338.843,3948221.35,3998462.409,4048025.858,4096894.2,4145049.731,4192497.664,4239166.671,4285346.442,4330975.603,4376031.631,4420494.591,4464334.217,4507518.971,4550021.896
948,235263.494,244944.715,254439.161,264496.755,275131.326,286330.87,298075.039,310371.541,323300.934,336824.582,350890.342,365308.444,380685.349,396721.522,413403.225,430589.421,448341.225,466893.403,486338.035,506591.982,527615.281,549365.154,572642.409,596756.422,621670.537,645425.696,671831.966,699006.114,727147.617,756103.244,786344.147,817949.536,849467.364,882006.886,915606.188,950055.427,985245.024,1020915.144,1057073.663,1093624.189,1130774.716,1166677.428,1202615.346,1238874,1275306.277,1311996.569,1348894.137,1386308.738,1424197.348,1462522.253,1501700.059,1541534.561,1582874.762,1624945.234,1667877.223,1711930.235,1756871.791,1802323.4,1849403.015,1897476.354,1946607.082,1995937.935,2045975.799,2096885.165,2148567.927,2201144.949,2254274.865,2307995.022,2362378.537,2417462.037,2473276.185,2529811.906,2587050.315,2645002.961,2703684.683,2763104.132,2823255.471,2884129.51,2945725.718,3008043.635,3071075.745,3134813.595,3199237.282,3264319.426,3330019.235,3396289.776,3463072.477,3530361.767,3598162.137,3666401.299,3735045.446,3804051.851,3873425.96,3943080.357,4012963.642,4083024.838,4153228.073,4223541.331,4293929.423,4364357.338,4434790.122
1503,393682.103,401876.562,410369.239,419106.251,428083.265,437320.834,446737.867,456240.044,465886.594,475685.274,485582.682,495454.001,505431.083,515646.44,525851.551,535949.17,545867.648,555783.756,565591.189,575185.16,584693.946,593682.233,602603.159,611486.63,620321.493,629041.888,637134.12,644981.199,652751.735,660422.93,668137.289,676064.796,683604.121,690986.832,698280.259,705561.127,713180.18,721112.954,728970.766,736563.971,744350.014,752307.155,760122.903,767969.147,775841.506,783669.614,791323.832,798929.948,806554.59,814224.847,821848.911,830817.974,840485.301,850092.985,859842.389,869805.388,879834.71,890013.399,900198.602,910076.893,919422.948,927484.082,934764.256,941715.712,948477.334,955213.368,961978.227,968736.75,975461.275,982091.816,988586.268,994935.391,1001161.577,1007290.76,1013361.033,1019399.05,1025413.322,1031391.774,1037314.323,1043151.166,1048879.476,1054493.125,1059995.317,1065383.495,1070656.479,1075813.363,1080849.856,1085755.783,1090535.645,1095194.058,1099735.451,1104158.598,1108450.092,1112604.689,1116630.738,1120535.366,1124324.865,1128001.266,1131563.77,1135009.05,1138335.607
1517,345034.799,360599.21,375864.031,391619.726,407952.99,424896.863,442441.599,460593.803,479550.262,499171.164,519401.08,540214.323,562245.133,585224.233,609212.165,628628.826,649002.602,670337.992,692367.1,714966.272,738083.255,762201.997,787601.098,814520.432,842925.781,869907.548,898780.152,928117.823,961312.817,998502.652,1037063.768,1077111.126,1117379.136,1157433.356,1199039.901,1242008.556,1286370.408,1331925.867,1378368.976,1424795.04,1470899.724,1516895.106,1562533.063,1608083.119,1653738.24,1699644.016,1745876.532,1792471.867,1839521.741,1886987.005,1935345.421,1986742.901,2041247.937,2096821.206,2153474.187,2211226.411,2269397.602,2328233.82,2388135.122,2449076.672,2511182.555,2572793.541,2634892.089,2697775.627,2761241.217,2825251.89,2889408.593,2953628.991,3017642.113,3081402.263,3144887.111,3208033.86,3270776.268,3333093.723,3394979.035,3456424.614,3517405.324,3577901.028,3637919.053,3697477.103,3756587.005,3815242.012,3873432.479,3931149.794,3988377.515,4045090.702,4101247.034,4156858.154,4211938.16,4266440.647,4320349.193,4373643.296,4426326.021,4478322.312,4529911.997,4581025.122,4631633.818,4681714.032,4731229.811,4780144.028,4828424.336
1502,211087.541,221565.224,232239.951,243147.103,254365.208,265940.548,277859.05,290128.295,302923.454,316200.053,329935.42,344115.999,358917.871,374370.608,390546.27,401852.211,413869.403,426478.062,439461.959,452684.965,466100.914,479900.613,493792.124,508679.147,524582.25,540533.877,556009.257,571510.273,590296.932,612569.135,635382.906,659111.639,683694.562,707428.957,732035.646,757478.536,783810.022,810894.651,838468.689,865742.284,892370.049,919479.87,946170.73,972528.392,998900.032,1025413.816,1052009.49,1078658.004,1105453.586,1132420.85,1159790.71,1189768.159,1221357.328,1253488.527,1286139.999,1319219.592,1352177.82,1385248.99,1418811.643,1452907.776,1487718.171,1522004.505,1556320.472,1590859.211,1625391.464,1659611.323,1693419.214,1726705.618,1759117.809,1790576.145,1821035.903,1850421.118,1878685.505,1905862.298,1932022.673,1957222.737,1981469.96,2004747.074,2027061.248,2048417.796,2068824.56,2088294.594,2106845.323,2124487.97,2141233.135,2157097.805,2172090.794,2186224.878,2199503.908,2211955.487,2223591.58,2234419.604,2244442.168,2253643.341,2262368.25,2270585.54,2278293.481,2285492.093,2292170.629,2298316.461,2303922.034
1501,133947.258,139033.986,143624.08,148472.623,153587.782,158956.315,164582.549,170465.508,176626.808,182971.111,189465.66,196098.324,203327.262,210853.625,218665.895,226776.615,235133.199,243859.93,252905.141,262281.307,271982.341,282301.384,293808.974,305841.285,318343.531,329373.671,342770.895,356607.55,371015.885,385933.517,401680.862,417999.487,433684.574,450004.399,467004.255,484530.02,502560.386,521031.216,539900.287,559052.756,578529.675,597415.236,616362.333,635554.727,654838.208,674230.2,693867.042,713813.863,734068.155,754566.155,775554.711,796974.742,819890.609,843332.679,867334.188,892006.819,917219.782,942984.83,969323.479,996168.896,1023464.384,1050789.036,1078571.617,1106916.416,1135849.753,1165640.567,1195989.379,1226923.373,1258524.304,1290826.118,1323851.208,1357612.742,1392090.763,1427231.425,1462956.362,1499201.877,1535935.364,1573153.954,1610857.805,1649059.307,1687762.445,1726947.418,1766587.156,1806661.824,1847144.38,1887992.897,1929156.24,1970633.276,2012434.252,2054485.16,2096757.613,2139223.692,2181883.853,2224678.971,2267543.747,2310439.582,2353340.337,2396221.939,2439059.182,2481827.567,2524502.302
