geographicAreaM49,geographicAreaM49_description,measuredElement,measuredElement_description,timePointYears,Value_unpd,flagObservationStatus,flagMethod,Value_faostat,Flag,(Value_unpd-Value_faostat)/Value_faostat
100,Bulgaria,511,Total Population [1000],2000,7998,X,h,8001,,-0.000374953
100,Bulgaria,511,Total Population [1000],2001,7931,X,h,7935,,-0.000504096
100,Bulgaria,511,Total Population [1000],2002,7866,X,h,7870,,-0.000508259
100,Bulgaria,511,Total Population [1000],2003,7804,X,h,7807,,-0.000384271
100,Bulgaria,511,Total Population [1000],2004,7743,X,h,7745,,-0.000258231
100,Bulgaria,511,Total Population [1000],2005,7684,X,h,7683,,0.000130157
100,Bulgaria,511,Total Population [1000],2006,7625,X,h,7623,,0.000262364
100,Bulgaria,511,Total Population [1000],2007,7567,X,h,7563,,0.000528891
100,Bulgaria,511,Total Population [1000],2008,7510,X,h,7504,,0.000799574
100,Bulgaria,511,Total Population [1000],2009,7456,X,h,7446,,0.001343003
100,Bulgaria,511,Total Population [1000],2010,7405,X,h,7389,,0.002165381
100,Bulgaria,511,Total Population [1000],2011,7356,X,h,7333,,0.003136506
100,Bulgaria,511,Total Population [1000],2012,7310,X,h,7278,,0.004396812
100,Bulgaria,511,Total Population [1000],2013,7266,X,h,7223,,0.005953205
104,Myanmar,511,Total Population [1000],2000,46095,X,h,48453,,-0.048665717
104,Myanmar,511,Total Population [1000],2001,46628,X,h,48894,,-0.046345155
104,Myanmar,511,Total Population [1000],2002,47140,X,h,49261,,-0.043056373
104,Myanmar,511,Total Population [1000],2003,47625,X,h,49577,,-0.039373096
104,Myanmar,511,Total Population [1000],2004,48074,X,h,49875,,-0.036110276
104,Myanmar,511,Total Population [1000],2005,48483,X,h,50181,,-0.033837508
104,Myanmar,511,Total Population [1000],2006,48846,X,h,50500,,-0.032752475
104,Myanmar,511,Total Population [1000],2007,49172,X,h,50829,,-0.0325995
104,Myanmar,511,Total Population [1000],2008,49480,X,h,51174,,-0.033102747
104,Myanmar,511,Total Population [1000],2009,49801,X,h,51540,,-0.033740784
104,Myanmar,511,Total Population [1000],2010,50156,X,h,51931,,-0.03417997
104,Myanmar,511,Total Population [1000],2011,50553,X,h,52351,,-0.034345094
104,Myanmar,511,Total Population [1000],2012,50987,X,h,52797,,-0.034282251
104,Myanmar,511,Total Population [1000],2013,51448,X,h,53259,,-0.034003643
112,Belarus,511,Total Population [1000],2000,9934,X,h,9981,,-0.004708947
112,Belarus,511,Total Population [1000],2001,9873,X,h,9920,,-0.004737903
112,Belarus,511,Total Population [1000],2002,9807,X,h,9853,,-0.004668629
112,Belarus,511,Total Population [1000],2003,9740,X,h,9784,,-0.004497138
112,Belarus,511,Total Population [1000],2004,9677,X,h,9720,,-0.004423868
112,Belarus,511,Total Population [1000],2005,9622,X,h,9665,,-0.004449043
112,Belarus,511,Total Population [1000],2006,9575,X,h,9620,,-0.004677755
112,Belarus,511,Total Population [1000],2007,9537,X,h,9585,,-0.005007825
112,Belarus,511,Total Population [1000],2008,9507,X,h,9556,,-0.005127668
112,Belarus,511,Total Population [1000],2009,9486,X,h,9526,,-0.004199034
112,Belarus,511,Total Population [1000],2010,9473,X,h,9491,,-0.001896534
112,Belarus,511,Total Population [1000],2011,9469,X,h,9450,,0.002010582
112,Belarus,511,Total Population [1000],2012,9472,X,h,9405,,0.00712387
112,Belarus,511,Total Population [1000],2013,9479,X,h,9357,,0.013038367
116,Cambodia,511,Total Population [1000],2000,12152,X,h,12223,,-0.005808721
116,Cambodia,511,Total Population [1000],2001,12402,X,h,12473,,-0.005692295
116,Cambodia,511,Total Population [1000],2002,12635,X,h,12709,,-0.005822645
116,Cambodia,511,Total Population [1000],2003,12853,X,h,12934,,-0.006262564
116,Cambodia,511,Total Population [1000],2004,13063,X,h,13149,,-0.006540421
116,Cambodia,511,Total Population [1000],2005,13270,X,h,13356,,-0.006439054
116,Cambodia,511,Total Population [1000],2006,13474,X,h,13555,,-0.005975655
116,Cambodia,511,Total Population [1000],2007,13677,X,h,13747,,-0.00509202
116,Cambodia,511,Total Population [1000],2008,13881,X,h,13941,,-0.004303852
116,Cambodia,511,Total Population [1000],2009,14090,X,h,14144,,-0.003817873
116,Cambodia,511,Total Population [1000],2010,14309,X,h,14365,,-0.003898364
116,Cambodia,511,Total Population [1000],2011,14538,X,h,14606,,-0.004655621
116,Cambodia,511,Total Population [1000],2012,14777,X,h,14865,,-0.005919946
116,Cambodia,511,Total Population [1000],2013,15023,X,h,15135,,-0.007400066
12,Algeria,511,Total Population [1000],2000,31184,X,h,31719,,-0.016866862
12,Algeria,511,Total Population [1000],2001,31592,X,h,32150,,-0.017356143
12,Algeria,511,Total Population [1000],2002,31995,X,h,32573,,-0.017744758
12,Algeria,511,Total Population [1000],2003,32404,X,h,33003,,-0.018149865
12,Algeria,511,Total Population [1000],2004,32831,X,h,33461,,-0.018827889
12,Algeria,511,Total Population [1000],2005,33288,X,h,33961,,-0.019816849
12,Algeria,511,Total Population [1000],2006,33778,X,h,34507,,-0.021126148
12,Algeria,511,Total Population [1000],2007,34300,X,h,35097,,-0.022708494
12,Algeria,511,Total Population [1000],2008,34861,X,h,35725,,-0.024184745
12,Algeria,511,Total Population [1000],2009,35466,X,h,36383,,-0.025204079
12,Algeria,511,Total Population [1000],2010,36118,X,h,37063,,-0.025497127
12,Algeria,511,Total Population [1000],2011,36820,X,h,37763,,-0.024971533
12,Algeria,511,Total Population [1000],2012,37566,X,h,38482,,-0.023803337
12,Algeria,511,Total Population [1000],2013,38339,X,h,39208,,-0.022163844
120,Cameroon,511,Total Population [1000],2000,15274,X,h,15928,,-0.041059769
120,Cameroon,511,Total Population [1000],2001,15672,X,h,16350,,-0.04146789
120,Cameroon,511,Total Population [1000],2002,16085,X,h,16782,,-0.041532594
120,Cameroon,511,Total Population [1000],2003,16514,X,h,17223,,-0.041165883
120,Cameroon,511,Total Population [1000],2004,16959,X,h,17675,,-0.040509194
120,Cameroon,511,Total Population [1000],2005,17421,X,h,18138,,-0.039530268
120,Cameroon,511,Total Population [1000],2006,17900,X,h,18612,,-0.038254889
120,Cameroon,511,Total Population [1000],2007,18395,X,h,19098,,-0.036810137
120,Cameroon,511,Total Population [1000],2008,18907,X,h,19595,,-0.035110998
120,Cameroon,511,Total Population [1000],2009,19433,X,h,20104,,-0.033376442
120,Cameroon,511,Total Population [1000],2010,19970,X,h,20624,,-0.031710628
120,Cameroon,511,Total Population [1000],2011,20520,X,h,21156,,-0.030062394
120,Cameroon,511,Total Population [1000],2012,21082,X,h,21700,,-0.028479263
120,Cameroon,511,Total Population [1000],2013,21656,X,h,22254,,-0.026871574
124,Canada,511,Total Population [1000],2000,30736,X,h,30697,,0.001270482
124,Canada,511,Total Population [1000],2001,31025,X,h,30987,,0.001226321
124,Canada,511,Total Population [1000],2002,31321,X,h,31284,,0.001182713
124,Canada,511,Total Population [1000],2003,31628,X,h,31592,,0.001139529
124,Canada,511,Total Population [1000],2004,31949,X,h,31914,,0.001096697
124,Canada,511,Total Population [1000],2005,32288,X,h,32253,,0.00108517
124,Canada,511,Total Population [1000],2006,32645,X,h,32611,,0.001042593
124,Canada,511,Total Population [1000],2007,33020,X,h,32986,,0.00103074
124,Canada,511,Total Population [1000],2008,33405,X,h,33370,,0.001048846
124,Canada,511,Total Population [1000],2009,33790,X,h,33753,,0.001096199
124,Canada,511,Total Population [1000],2010,34169,X,h,34126,,0.001260036
124,Canada,511,Total Population [1000],2011,34539,X,h,34487,,0.001507815
124,Canada,511,Total Population [1000],2012,34901,X,h,34838,,0.00180837
124,Canada,511,Total Population [1000],2013,35255,X,h,35182,,0.002074925
1248,"China, Main",511,Total Population [1000],2000,1283199,X,h,1280429,,0.002163337
1248,"China, Main",511,Total Population [1000],2001,1290938,X,h,1287890,,0.002366662
1248,"China, Main",511,Total Population [1000],2002,1298647,X,h,1295322,,0.002566929
1248,"China, Main",511,Total Population [1000],2003,1306344,X,h,1302810,,0.002712598
1248,"China, Main",511,Total Population [1000],2004,1314007,X,h,1310414,,0.002741882
1248,"China, Main",511,Total Population [1000],2005,1321623,X,h,1318177,,0.002614216
1248,"China, Main",511,Total Population [1000],2006,1329209,X,h,1326146,,0.0023097
1248,"China, Main",511,Total Population [1000],2007,1336801,X,h,1334344,,0.001841354
1248,"China, Main",511,Total Population [1000],2008,1344415,X,h,1342733,,0.001252669
1248,"China, Main",511,Total Population [1000],2009,1352068,X,h,1351248,,0.000606846
1248,"China, Main",511,Total Population [1000],2010,1359755,X,h,1359821,,-4.85E-05
1248,"China, Main",511,Total Population [1000],2011,1367480,X,h,1368440,,-0.000701529
1248,"China, Main",511,Total Population [1000],2012,1375199,X,h,1377065,,-0.001355056
1248,"China, Main",511,Total Population [1000],2013,1382793,X,h,1385567,,-0.002002068
132,Cabo Verde,511,Total Population [1000],2000,435,X,h,442,,-0.015837104
132,Cabo Verde,511,Total Population [1000],2001,444,X,h,451,,-0.015521064
132,Cabo Verde,511,Total Population [1000],2002,452,X,h,459,,-0.015250545
132,Cabo Verde,511,Total Population [1000],2003,460,X,h,467,,-0.014989293
132,Cabo Verde,511,Total Population [1000],2004,468,X,h,474,,-0.012658228
132,Cabo Verde,511,Total Population [1000],2005,475,X,h,479,,-0.008350731
132,Cabo Verde,511,Total Population [1000],2006,481,X,h,482,,-0.002074689
132,Cabo Verde,511,Total Population [1000],2007,486,X,h,484,,0.004132231
132,Cabo Verde,511,Total Population [1000],2008,492,X,h,485,,0.01443299
132,Cabo Verde,511,Total Population [1000],2009,497,X,h,486,,0.022633745
132,Cabo Verde,511,Total Population [1000],2010,502,X,h,488,,0.028688525
132,Cabo Verde,511,Total Population [1000],2011,508,X,h,491,,0.034623218
132,Cabo Verde,511,Total Population [1000],2012,514,X,h,494,,0.04048583
132,Cabo Verde,511,Total Population [1000],2013,520,X,h,499,,0.042084168
140,Central African Republic,511,Total Population [1000],2000,3755,X,h,3638,,0.032160528
140,Central African Republic,511,Total Population [1000],2001,3832,X,h,3704,,0.034557235
140,Central African Republic,511,Total Population [1000],2002,3908,X,h,3767,,0.037430316
140,Central African Republic,511,Total Population [1000],2003,3982,X,h,3830,,0.039686684
140,Central African Republic,511,Total Population [1000],2004,4055,X,h,3894,,0.04134566
140,Central African Republic,511,Total Population [1000],2005,4128,X,h,3961,,0.04216107
140,Central African Republic,511,Total Population [1000],2006,4202,X,h,4032,,0.042162698
140,Central African Republic,511,Total Population [1000],2007,4276,X,h,4107,,0.041149257
140,Central African Republic,511,Total Population [1000],2008,4345,X,h,4185,,0.03823178
140,Central African Republic,511,Total Population [1000],2009,4404,X,h,4266,,0.032348805
140,Central African Republic,511,Total Population [1000],2010,4449,X,h,4350,,0.022758621
140,Central African Republic,511,Total Population [1000],2011,4476,X,h,4436,,0.009017133
140,Central African Republic,511,Total Population [1000],2012,4490,X,h,4525,,-0.007734807
140,Central African Republic,511,Total Population [1000],2013,4500,X,h,4616,,-0.025129983
144,Sri Lanka,511,Total Population [1000],2000,18782,X,h,18846,,-0.003395946
144,Sri Lanka,511,Total Population [1000],2001,18913,X,h,19037,,-0.006513631
144,Sri Lanka,511,Total Population [1000],2002,19059,X,h,19261,,-0.010487514
144,Sri Lanka,511,Total Population [1000],2003,19215,X,h,19502,,-0.014716439
144,Sri Lanka,511,Total Population [1000],2004,19373,X,h,19738,,-0.018492248
144,Sri Lanka,511,Total Population [1000],2005,19525,X,h,19951,,-0.021352313
144,Sri Lanka,511,Total Population [1000],2006,19670,X,h,20138,,-0.023239646
144,Sri Lanka,511,Total Population [1000],2007,19811,X,h,20302,,-0.024184809
144,Sri Lanka,511,Total Population [1000],2008,19946,X,h,20452,,-0.024740857
144,Sri Lanka,511,Total Population [1000],2009,20075,X,h,20602,,-0.025580041
144,Sri Lanka,511,Total Population [1000],2010,20198,X,h,20759,,-0.027024423
144,Sri Lanka,511,Total Population [1000],2011,20315,X,h,20926,,-0.029198127
144,Sri Lanka,511,Total Population [1000],2012,20425,X,h,21098,,-0.031898758
144,Sri Lanka,511,Total Population [1000],2013,20527,X,h,21273,,-0.035067926
148,Chad,511,Total Population [1000],2000,8343,X,h,8301,,0.005059631
148,Chad,511,Total Population [1000],2001,8663,X,h,8621,,0.004871825
148,Chad,511,Total Population [1000],2002,9002,X,h,8960,,0.0046875
148,Chad,511,Total Population [1000],2003,9353,X,h,9311,,0.004510794
148,Chad,511,Total Population [1000],2004,9710,X,h,9665,,0.004655975
148,Chad,511,Total Population [1000],2005,10067,X,h,10014,,0.00529259
148,Chad,511,Total Population [1000],2006,10422,X,h,10357,,0.006275949
148,Chad,511,Total Population [1000],2007,10776,X,h,10694,,0.007667851
148,Chad,511,Total Population [1000],2008,11134,X,h,11031,,0.009337322
148,Chad,511,Total Population [1000],2009,11503,X,h,11371,,0.011608478
148,Chad,511,Total Population [1000],2010,11887,X,h,11721,,0.014162614
148,Chad,511,Total Population [1000],2011,12289,X,h,12080,,0.017301325
148,Chad,511,Total Population [1000],2012,12705,X,h,12448,,0.020645887
148,Chad,511,Total Population [1000],2013,13134,X,h,12825,,0.024093567
152,Chile,511,Total Population [1000],2000,15263,X,h,15454,,-0.01235926
152,Chile,511,Total Population [1000],2001,15445,X,h,15639,,-0.012404885
152,Chile,511,Total Population [1000],2002,15624,X,h,15820,,-0.012389381
152,Chile,511,Total Population [1000],2003,15800,X,h,15996,,-0.012253063
152,Chile,511,Total Population [1000],2004,15974,X,h,16168,,-0.01199901
152,Chile,511,Total Population [1000],2005,16147,X,h,16338,,-0.011690537
152,Chile,511,Total Population [1000],2006,16320,X,h,16505,,-0.011208725
152,Chile,511,Total Population [1000],2007,16492,X,h,16669,,-0.010618513
152,Chile,511,Total Population [1000],2008,16662,X,h,16831,,-0.010040996
152,Chile,511,Total Population [1000],2009,16829,X,h,16992,,-0.00959275
152,Chile,511,Total Population [1000],2010,16993,X,h,17151,,-0.009212291
152,Chile,511,Total Population [1000],2011,17153,X,h,17308,,-0.008955396
152,Chile,511,Total Population [1000],2012,17310,X,h,17465,,-0.008874893
152,Chile,511,Total Population [1000],2013,17463,X,h,17620,,-0.008910329
158,"China,Taiwan",511,Total Population [1000],2000,21840,X,h,21935,,-0.004330978
158,"China,Taiwan",511,Total Population [1000],2001,21985,X,h,22101,,-0.005248631
158,"China,Taiwan",511,Total Population [1000],2002,22143,X,h,22271,,-0.005747384
158,"China,Taiwan",511,Total Population [1000],2003,22306,X,h,22438,,-0.005882877
158,"China,Taiwan",511,Total Population [1000],2004,22462,X,h,22593,,-0.005798256
158,"China,Taiwan",511,Total Population [1000],2005,22603,X,h,22728,,-0.005499824
158,"China,Taiwan",511,Total Population [1000],2006,22725,X,h,22840,,-0.005035026
